onet_soc_code,occupation_title,stem_occupation_types,job_zone,bright_outlook,task_id,task,task_category,importance,task_rank_in_occupation,dwa_id,dwa_title,iwa_id,iwa_title,gwa_id,gwa_title
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,970,Stay abreast of advances in technology.,Core,72.0,8,4.A.2.b.3.a.8,Maintain knowledge of current developments in area of expertise.,4.A.2.b.3.a,Maintain current knowledge in area of expertise.,4.A.2.b.3,Updating and Using Relevant Knowledge
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",Core,71.0,9,4.A.4.b.1.c.6,Coordinate operational activities with external stakeholders.,4.A.4.b.1.c,"Coordinate activities with clients, agencies, or organizations.",4.A.4.b.1,Coordinating the Work and Activities of Others
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,976,"Develop and interpret organizational goals, policies, and procedures.",Core,68.0,10,4.A.2.b.2.v.2,Develop organizational goals or objectives.,4.A.2.b.2.v,Develop organizational or program goals or objectives.,4.A.2.b.2,Thinking Creatively
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,976,"Develop and interpret organizational goals, policies, and procedures.",Core,68.0,10,4.A.2.b.4.a.1,Develop organizational policies or programs.,4.A.2.b.4.a,"Develop organizational policies, systems, or processes.",4.A.2.b.4,Developing Objectives and Strategies
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,976,"Develop and interpret organizational goals, policies, and procedures.",Core,68.0,10,4.A.2.b.4.a.2,"Develop operating strategies, plans, or procedures.",4.A.2.b.4.a,"Develop organizational policies, systems, or processes.",4.A.2.b.4,Developing Objectives and Strategies
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",Core,68.0,11,4.A.2.b.1.h.5,Determine resource needs.,4.A.2.b.1.h,Determine resource needs of projects or operations.,4.A.2.b.1,Making Decisions and Solving Problems
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",Core,68.0,11,4.A.4.b.6.e.7,Recommend organizational process or policy changes.,4.A.4.b.6.e,Advise others on business or operational matters.,4.A.4.b.6,Providing Consultation and Advice to Others
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,972,Review and approve all systems charts and programs prior to their implementation.,Core,67.0,12,4.A.1.a.1.b.8,Review technical documents to plan work.,4.A.1.a.1.b,Read documents or materials to inform work processes.,4.A.1.a.1,Getting Information
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,972,Review and approve all systems charts and programs prior to their implementation.,Core,67.0,12,4.A.2.a.1.j.1,Evaluate project designs to determine adequacy or feasibility.,4.A.2.a.1.j,Evaluate project feasibility.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,980,Prepare and review operational reports or project progress reports.,Core,66.0,13,4.A.3.b.6.o.6,Prepare operational progress or status reports.,4.A.3.b.6.o,Prepare reports of operational or procedural activities.,4.A.3.b.6,Documenting/Recording Information
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,65.0,14,4.A.2.a.1.j.2,Analyze data to determine project feasibility.,4.A.2.a.1.j,Evaluate project feasibility.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,974,Control operational budget and expenditures.,Core,63.0,15,4.A.4.b.4.h.5,Manage organizational or project budgets.,4.A.4.b.4.h,Manage budgets or finances.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-3021.00,Computer and Information Systems Managers,Managerial,4,1,981,Purchase necessary equipment.,Core,60.0,16,4.A.4.c.3.e.3,"Purchase materials, equipment, or other resources.",4.A.4.c.3.e,Purchase goods or services.,4.A.4.c.3,Monitoring and Controlling Resources
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20170,Manage the coordination and overall integration of technical activities in architecture or engineering projects.,Core,82.0,1,4.A.4.b.4.i.7,Manage construction activities.,4.A.4.b.4.i,Direct construction or extraction activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20171,"Direct, review, or approve project design changes.",Core,75.0,2,4.A.2.a.1.j.2,Analyze data to determine project feasibility.,4.A.2.a.1.j,Evaluate project feasibility.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20171,"Direct, review, or approve project design changes.",Core,75.0,2,4.A.4.b.4.j.12,"Manage operations, research, or logistics projects.",4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,1071,Consult or negotiate with clients to prepare project specifications.,Core,71.0,3,4.A.4.a.7.b.11,Negotiate project specifications.,4.A.4.a.7.b,Negotiate contracts or agreements.,4.A.4.a.7,Resolving Conflicts and Negotiating with Others
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20172,"Prepare budgets, bids, or contracts.",Core,62.0,4,4.A.3.b.6.a.2,"Prepare financial documents, reports, or budgets.",4.A.3.b.6.a,"Prepare financial documents, reports, or budgets.",4.A.3.b.6,Documenting/Recording Information
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20172,"Prepare budgets, bids, or contracts.",Core,62.0,4,4.A.4.b.4.h.4,Prepare operational budgets.,4.A.4.b.4.h,Manage budgets or finances.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,1070,"Present and explain proposals, reports, or findings to clients.",Core,62.0,5,4.A.4.a.1.b.5,Communicate organizational information to customers or other stakeholders.,4.A.4.a.1.b,"Explain regulations, policies, or procedures.",4.A.4.a.1,Interpreting the Meaning of Information for Others
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20173,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,60.0,7,4.A.2.a.1.j.2,Analyze data to determine project feasibility.,4.A.2.a.1.j,Evaluate project feasibility.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20173,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,60.0,7,4.A.2.a.4.b.1,Estimate demand for products or services.,4.A.2.a.4.b,Analyze market or industry conditions.,4.A.2.a.4,Analyzing Data or Information
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20173,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,60.0,7,4.A.2.a.4.b.8,Analyze market research data.,4.A.2.a.4.b,Analyze market or industry conditions.,4.A.2.a.4,Analyzing Data or Information
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,1060,"Confer with management, production, or marketing staff to discuss project specifications or procedures.",Core,60.0,6,4.A.4.a.2.c.14,Confer with organizational members to accomplish work activities.,4.A.4.a.2.c,Communicate with others about operational plans or activities.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20175,"Review, recommend, or approve contracts or cost estimates.",Core,60.0,8,4.A.2.b.1.c.4,Approve expenditures.,4.A.2.b.1.c,Authorize business activities or transactions.,4.A.2.b.1,Making Decisions and Solving Problems
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20176,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,58.0,9,4.A.2.b.1.i.1,Implement organizational process or policy changes.,4.A.2.b.1.i,Implement procedures or processes.,4.A.2.b.1,Making Decisions and Solving Problems
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20176,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,58.0,9,4.A.2.b.4.a.1,Develop organizational policies or programs.,4.A.2.b.4.a,"Develop organizational policies, systems, or processes.",4.A.2.b.4,Developing Objectives and Strategies
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20176,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,58.0,9,4.A.2.b.4.a.2,"Develop operating strategies, plans, or procedures.",4.A.2.b.4.a,"Develop organizational policies, systems, or processes.",4.A.2.b.4,Developing Objectives and Strategies
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,19528,Identify environmental threats or opportunities associated with the development and launch of new technologies.,Supplemental,57.0,16,4.A.1.a.1.j.6,Identify environmental concerns.,4.A.1.a.1.j,Investigate the environmental impact of industrial or development activities.,4.A.1.a.1,Getting Information
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,1063,"Plan or direct the installation, testing, operation, maintenance, or repair of facilities or equipment.",Supplemental,57.0,15,4.A.4.b.4.j.27,Direct facility maintenance or repair activities.,4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20174,"Direct recruitment, placement, and evaluation of architecture or engineering project staff.",Core,54.0,11,4.A.4.b.4.f.4,Manage human resources activities.,4.A.4.b.4.f,Manage human resources activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20178,Establish scientific or technical goals within broad outlines provided by top management.,Core,54.0,10,4.A.2.b.2.v.2,Develop organizational goals or objectives.,4.A.2.b.2.v,Develop organizational or program goals or objectives.,4.A.2.b.2,Thinking Creatively
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20177,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,54.0,12,4.A.2.b.1.c.4,Approve expenditures.,4.A.2.b.1.c,Authorize business activities or transactions.,4.A.2.b.1,Making Decisions and Solving Problems
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20177,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,54.0,12,4.A.3.b.6.a.2,"Prepare financial documents, reports, or budgets.",4.A.3.b.6.a,"Prepare financial documents, reports, or budgets.",4.A.3.b.6,Documenting/Recording Information
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20177,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,54.0,12,4.A.4.c.3.e.3,"Purchase materials, equipment, or other resources.",4.A.4.c.3.e,Purchase goods or services.,4.A.4.c.3,Monitoring and Controlling Resources
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20180,"Plan, direct, or coordinate survey work with other project activities.",Supplemental,54.0,17,4.A.2.b.4.a.2,"Develop operating strategies, plans, or procedures.",4.A.2.b.4.a,"Develop organizational policies, systems, or processes.",4.A.2.b.4,Developing Objectives and Strategies
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20180,"Plan, direct, or coordinate survey work with other project activities.",Supplemental,54.0,17,4.A.4.b.4.i.7,Manage construction activities.,4.A.4.b.4.i,Direct construction or extraction activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,19525,Develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.,Core,53.0,13,4.A.2.b.1.i.1,Implement organizational process or policy changes.,4.A.2.b.1.i,Implement procedures or processes.,4.A.2.b.1,Making Decisions and Solving Problems
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,19525,Develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.,Core,53.0,13,4.A.2.b.2.q.3,Develop sustainable organizational policies or practices.,4.A.2.b.2.q,Develop sustainable organizational or business policies or practices.,4.A.2.b.2,Thinking Creatively
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,19527,"Evaluate the environmental impacts of engineering, architecture, or research and development activities.",Core,51.0,14,4.A.1.a.1.j.7,Evaluate environmental impact of operational or development activities.,4.A.1.a.1.j,Investigate the environmental impact of industrial or development activities.,4.A.1.a.1,Getting Information
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,19526,Evaluate environmental regulations or social pressures related to environmental issues to inform strategic or operational decision-making.,Supplemental,48.0,18,4.A.2.a.4.i.3,Analyze impact of legal or regulatory changes.,4.A.2.a.4.i,Assess characteristics or impacts of regulations or policies.,4.A.2.a.4,Analyzing Data or Information
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20179,Solicit project support by conferring with officials or providing information to the public.,Supplemental,47.0,19,4.A.4.a.3.b.3,Present information to the public.,4.A.4.a.3.b,Provide information or assistance to the public.,4.A.4.a.3,Communicating with People Outside the Organization
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20179,Solicit project support by conferring with officials or providing information to the public.,Supplemental,47.0,19,4.A.4.a.6.c.12,"Promote products, services, or programs.",4.A.4.a.6.c,"Promote products, services, or programs.",4.A.4.a.6,Selling or Influencing Others
11-9041.00,Architectural and Engineering Managers,Managerial,5,0,20179,Solicit project support by conferring with officials or providing information to the public.,Supplemental,47.0,19,4.A.4.b.1.c.1,Communicate with government agencies.,4.A.4.b.1.c,"Coordinate activities with clients, agencies, or organizations.",4.A.4.b.1,Coordinating the Work and Activities of Others
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15574,"Design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.",Core,78.0,1,4.A.3.b.2.f.11,Develop technical processes to improve the efficiency of biofuel production.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15578,"Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.",Core,74.0,2,4.A.2.a.4.g.4,Evaluate energy production data.,4.A.2.a.4.g,Analyze data to improve operations.,4.A.2.a.4,Analyzing Data or Information
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15567,"Prepare, or oversee the preparation of, experimental plans for biofuels research or development.",Core,73.0,3,4.A.2.b.2.q.1,"Develop operating strategies, plans, or procedures for green or sustainable operations.",4.A.2.b.2.q,Develop sustainable organizational or business policies or practices.,4.A.2.b.2,Thinking Creatively
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15566,Provide technical or scientific guidance to technical staff in the conduct of biofuels research or development.,Core,71.0,4,4.A.4.b.4.a.19,Supervise workers performing environmentally sustainable activities.,4.A.4.b.4.a,Supervise personnel activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15580,"Propose new biofuels products, processes, technologies or applications based on findings from applied biofuels or biomass research projects.",Core,70.0,5,4.A.3.b.2.a.2,Develop specifications for new products or processes.,4.A.3.b.2.a,Develop technical specifications for products or operations.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15576,Conduct experiments on biomass or pretreatment technologies.,Core,68.0,6,4.A.1.b.2.b.1,Test green technologies or processes.,4.A.1.b.2.b,Evaluate green technologies or processes.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15568,Prepare biofuels research and development reports for senior management or technical professionals.,Core,67.0,7,4.A.4.a.2.a.2,Communicate green energy production information.,4.A.4.a.2.a,Communicate environmental or sustainability information.,4.A.4.a.2,"Communicating with Supervisors, Peers, or Subordinates"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15563,"Develop lab scale models of industrial scale processes, such as fermentation.",Core,66.0,8,4.A.2.a.4.g.6,Model operational processes.,4.A.2.a.4.g,Analyze data to improve operations.,4.A.2.a.4,Analyzing Data or Information
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15579,Oversee biodiesel/biofuels prototyping or development projects.,Core,65.0,9,4.A.4.b.4.j.10,Direct green energy production operations.,4.A.4.b.4.j,"Direct organizational operations, activities, or procedures.",4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15577,Conduct experiments to test new or alternate feedstock fermentation processes.,Core,63.0,10,4.A.1.b.2.b.1,Test green technologies or processes.,4.A.1.b.2.b,Evaluate green technologies or processes.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15572,Develop methods to estimate the efficiency of biomass pretreatments.,Supplemental,63.0,11,4.A.3.b.2.f.11,Develop technical processes to improve the efficiency of biofuel production.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15581,"Conduct research to breed or develop energy crops with improved biomass yield, environmental adaptability, pest resistance, production efficiency, bioprocessing characteristics, or reduced environmental impacts.",Supplemental,60.0,13,4.A.1.b.2.b.1,Test green technologies or processes.,4.A.1.b.2.b,Evaluate green technologies or processes.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15569,Perform protein functional analysis and engineering for processing of feedstock and creation of biofuels.,Supplemental,60.0,12,4.A.1.b.2.b.1,Test green technologies or processes.,4.A.1.b.2.b,Evaluate green technologies or processes.,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15564,Develop computational tools or approaches to improve biofuels research and development activities.,Supplemental,59.0,14,4.A.3.b.2.f.11,Develop technical processes to improve the efficiency of biofuel production.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15570,Develop separation processes to recover biofuels.,Supplemental,56.0,15,4.A.3.b.2.f.11,Develop technical processes to improve the efficiency of biofuel production.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15575,"Design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining.",Supplemental,54.0,16,4.A.3.b.2.f.11,Develop technical processes to improve the efficiency of biofuel production.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15573,Design or execute solvent or product recovery experiments in laboratory or field settings.,Supplemental,51.0,17,4.A.3.b.2.f.11,Develop technical processes to improve the efficiency of biofuel production.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial,4,0,15571,Develop methods to recover ethanol or other fuels from complex bioreactor liquid and gas streams.,Supplemental,50.0,18,4.A.3.b.2.f.11,Develop technical processes to improve the efficiency of biofuel production.,4.A.3.b.2.f,Develop operational or technical procedures or standards.,4.A.3.b.2,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
11-9111.00,Medical and Health Services Managers,Managerial,4,1,46,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",Core,86.0,1,4.A.2.a.1.d.4,Evaluate employee performance.,4.A.2.a.1.d,Evaluate personnel capabilities or performance.,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People"
11-9111.00,Medical and Health Services Managers,Managerial,4,1,46,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",Core,86.0,1,4.A.4.b.4.a.13,Supervise employees.,4.A.4.b.4.a,Supervise personnel activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9111.00,Medical and Health Services Managers,Managerial,4,1,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,83.0,2,4.A.2.b.2.b.2,Develop computer or information systems.,4.A.2.b.2.b,Design computer or information systems or applications.,4.A.2.b.2,Thinking Creatively
11-9111.00,Medical and Health Services Managers,Managerial,4,1,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,83.0,2,4.A.3.b.6.h.5,Maintain operational records.,4.A.3.b.6.h,Maintain operational records.,4.A.3.b.6,Documenting/Recording Information
11-9111.00,Medical and Health Services Managers,Managerial,4,1,58,"Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.",Core,80.0,3,4.A.2.b.1.i.1,Implement organizational process or policy changes.,4.A.2.b.1.i,Implement procedures or processes.,4.A.2.b.1,Making Decisions and Solving Problems
11-9111.00,Medical and Health Services Managers,Managerial,4,1,58,"Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.",Core,80.0,3,4.A.4.b.3.d.16,Conduct employee training programs.,4.A.4.b.3.d,Train others on operational or work procedures.,4.A.4.b.3,Training and Teaching Others
11-9111.00,Medical and Health Services Managers,Managerial,4,1,58,"Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.",Core,80.0,3,4.A.4.b.4.f.4,Manage human resources activities.,4.A.4.b.4.f,Manage human resources activities.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9111.00,Medical and Health Services Managers,Managerial,4,1,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,79.0,4,4.A.4.b.4.h.2,Direct financial operations.,4.A.4.b.4.h,Manage budgets or finances.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9111.00,Medical and Health Services Managers,Managerial,4,1,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,79.0,4,4.A.4.b.4.h.4,Prepare operational budgets.,4.A.4.b.4.h,Manage budgets or finances.,4.A.4.b.4,"Guiding, Directing, and Motivating Subordinates"
11-9111.00,Medical and Health Services Managers,Managerial,4,1,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,79.0,5,4.A.2.b.3.a.8,Maintain knowledge of current developments in area of expertise.,4.A.2.b.3.a,Maintain current knowledge in area of expertise.,4.A.2.b.3,Updating and Using Relevant Knowledge
11-9111.00,Medical and Health Services Managers,Managerial,4,1,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,78.0,6,4.A.4.b.1.f.2,Prepare staff schedules or work assignments.,4.A.4.b.1.f,Assign work to others.,4.A.4.b.1,Coordinating the Work and Activities of Others
