onet_soc_code,task,category,original_task_id,original_task,date,domain_source
19-4051.02,"Inspect, test, and maintain respiratory protection equipment.",New,,,07/2014,Incumbent
19-4051.02,Write radiological work permits.,New,,,07/2014,Incumbent
19-4061.00,Write grant proposals.,New,,,08/2019,Incumbent
19-4071.00,Develop contracts related to operations.,New,,,08/2018,Incumbent
19-4071.00,Monitor environmental conditions such as temperature or humidity.,New,,,08/2018,Incumbent
19-4071.00,"Operate and manage drone technology for aerial surveys and mapping, wildlife monitoring, and forest health assessments.",New,,,05/2025,AI/SME
19-4071.00,Write reports on forestry or conservation activities.,New,,,08/2018,Incumbent
19-4092.00,Enter data into databases.,New,,,08/2023,Incumbent
19-4092.00,Operate drones to capture aerial footage or photographs of crime scenes for further analysis.,New,,,05/2025,AI/SME
19-4099.03,Operate remote sensing equipment on drones to collect data in areas that are difficult to access or require high-resolution imagery.,New,,,05/2025,AI/SME
25-1022.00,Hire adjunct faculty.,New,,,08/2019,Incumbent
25-1042.00,Write letters of recommendation for students.,New,,,08/2019,Incumbent
25-1043.00,Monitor research program budgets.,New,,,08/2020,Incumbent
25-1051.00,"Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, atmospheric thermodynamics, and physics.",Revision,5849,"Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, and atmospheric thermodynamics.",08/2019,Incumbent
25-1054.00,Review articles to determine their suitability for publication.,New,,,08/2019,Incumbent
25-1066.00,Mentor other faculty members.,New,,,08/2019,Incumbent
25-1067.00,Give presentations to community groups.,New,,,08/2019,Incumbent
25-1067.00,Review manuscripts.,New,,,08/2019,Incumbent
25-1067.00,Write letters of recommendation for students.,New,,,08/2019,Incumbent
29-1021.00,Place or restore dental implants.,New,,,08/2026,Incumbent
29-1022.00,"Read and evaluate imaging, such as computed tomography (CT) and magnetic resonance imaging (MRI), for diagnosis and treatment.",New,,,08/2026,Occupational Expert
29-1024.00,Consult with patients about treatment options.,New,,,08/2024,Incumbent
29-1024.00,Create treatment plans for patients.,New,,,08/2024,Incumbent
29-1071.00,Refer patients to other healthcare providers.,New,,,08/2021,Occupational Expert
29-1122.00,Recommend adaptive equipment to individuals to increase independence in daily living activities.,New,,,08/2021,Occupational Expert
29-1128.00,Manage patient clinical symptoms during stress testing protocols.,New,,,08/2026,Occupational Expert
29-1128.00,Measure oxygen consumption or lung functioning using spirometers or pulse oximeters.,Revision,19197,"Measure oxygen consumption or lung functioning, using spirometers.",08/2026,Occupational Expert
29-1128.00,"Monitor and assess patient physiological responses by measuring vital signs, including blood pressure, heart rate, electrocardiogram (ECG) activity, and lung sounds, during rest, exercise, and postexercise stress testing.",New,,,08/2026,Occupational Expert
29-1129.01,"Document and securely store client artwork in compliance with privacy laws, ethical guidelines, and facility requirements.",New,,,08/2026,Occupational Expert
29-1129.01,Provide crisis intervention by contacting emergency personnel and facilitating treatment coordination during client emergencies.,New,,,08/2026,Occupational Expert
29-1141.02,Mentor nursing students.,New,,,08/2023,Occupational Expert
29-1141.04,Develop and evaluate work processes based on evidence-based standards.,New,,,08/2025,Occupational Expert
29-1161.00,Evaluate mental health of patients.,New,,,08/2021,Occupational Expert
29-1161.00,Screen patients for gynecologic conditions such as infections.,New,,,08/2021,Occupational Expert
29-1214.00,Consult and direct other medical personnel on patient care.,New,,,08/2025,Occupational Expert
29-1214.00,Process patient transfers to and from other hospitals.,New,,,08/2025,Occupational Expert
29-1223.00,Perform mental health evaluations to provide information to courts of law on patients' mental states.,New,,,07/2014,Incumbent
29-1223.00,"Teach and supervise medical students, residents, and nurse practitioners.",New,,,08/2026,Incumbent
29-1229.04,"Perform diagnostic and therapeutic guided interventions, including injections and ablations.",New,,,08/2026,Occupational Expert
29-1229.06,"Perform diagnostic and therapeutic musculoskeletal procedures by using ultrasound guidance to identify conditions and conduct interventions, such as musculoskeletal injections.",New,,,08/2026,Occupational Expert
29-1229.06,Teach and supervise medical students and physicians in training.,New,,,08/2026,Occupational Expert
29-2011.00,Conduct blood typing and antibody screening.,New,,,08/2025,Incumbent
29-2011.04,"Cut sections of body tissues for microscopic examination, using microtomes or cryostats.",Revision,22780,"Cut sections of body tissues for microscopic examination, using microtomes.",08/2024,Occupational Expert
29-2011.04,Select and maintain controls for stains.,New,,,08/2024,Occupational Expert
29-2012.01,Load slides onto staining equipment.,New,,,08/2025,Occupational Expert
29-2031.00,"Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.",Revision,15234,"Perform general administrative tasks, such as scheduling appointments or ordering supplies or equipment.",07/2014,Incumbent
29-2033.00,Schedule patients for nuclear medicine exams and procedures.,New,,,07/2013,Incumbent
29-2043.00,"Lift and move patients using assistive devices, such as stretchers and stairchairs.",New,,,08/2026,Occupational Expert
29-2057.00,Order supplies.,New,,,08/2020,Occupational Expert
29-2057.00,"Perform examinations using ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.",Revision,19250,"Operate ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.",08/2020,Occupational Expert
29-2099.08,Develop and review patient care plans.,New,,,08/2026,Occupational Expert
29-9091.00,Develop emergency action plans for sports facilities.,New,,,08/2021,Incumbent
29-9099.01,Test patients for sexually transmitted infections.,New,,,08/2021,Incumbent
41-4011.07,Log client information and sales leads into tracking documents or software.,New,,,08/2024,Incumbent
