onet_soc_code,occupation_title,task_id,task,task_category,importance,n_subtasks_scored,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,dominant_verdict
11-9041.00,Architectural and Engineering Managers,1070,"Present and explain proposals, reports, or findings to clients.",Core,62.0,1,55.0,85.0,5.0,50.0,30.0,40.0,30.0,largely_automatable
11-9041.00,Architectural and Engineering Managers,1071,Consult or negotiate with clients to prepare project specifications.,Core,71.0,1,22.0,75.0,20.0,70.0,75.0,65.0,60.0,augmentable
11-9041.00,Architectural and Engineering Managers,19525,Develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.,Core,53.0,2,17.0,58.0,16.5,65.0,64.0,60.0,47.5,human_anchored
11-9041.00,Architectural and Engineering Managers,19526,Evaluate environmental regulations or social pressures related to environmental issues to inform strategic or operational decision-making.,Supplemental,48.0,1,30.0,88.0,3.0,25.0,70.0,60.0,60.0,augmentable
11-9041.00,Architectural and Engineering Managers,19527,"Evaluate the environmental impacts of engineering, architecture, or research and development activities.",Core,51.0,1,25.0,75.0,30.0,35.0,75.0,75.0,65.0,augmentable
11-9041.00,Architectural and Engineering Managers,19528,Identify environmental threats or opportunities associated with the development and launch of new technologies.,Supplemental,57.0,1,30.0,70.0,35.0,30.0,70.0,60.0,60.0,augmentable
11-9041.00,Architectural and Engineering Managers,20170,Manage the coordination and overall integration of technical activities in architecture or engineering projects.,Core,82.0,1,10.0,45.0,62.0,72.0,65.0,85.0,80.0,human_anchored
11-9041.00,Architectural and Engineering Managers,20171,"Direct, review, or approve project design changes.",Core,75.0,2,32.5,76.5,15.0,40.0,62.5,57.5,57.5,augmentable
11-9041.00,Architectural and Engineering Managers,20172,"Prepare budgets, bids, or contracts.",Core,62.0,2,37.5,82.5,4.0,30.0,47.5,65.0,55.0,augmentable
11-9041.00,Architectural and Engineering Managers,20173,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,60.0,3,51.7,81.0,2.7,18.3,63.3,40.0,46.7,augmentable
11-9041.00,Architectural and Engineering Managers,20174,"Direct recruitment, placement, and evaluation of architecture or engineering project staff.",Core,54.0,1,10.0,60.0,10.0,85.0,60.0,80.0,65.0,human_anchored
11-9041.00,Architectural and Engineering Managers,20175,"Review, recommend, or approve contracts or cost estimates.",Core,60.0,1,25.0,60.0,3.0,30.0,55.0,90.0,60.0,human_anchored
11-9041.00,Architectural and Engineering Managers,20176,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,58.0,3,17.3,66.0,12.7,63.3,70.0,71.7,60.0,augmentable
11-9041.00,Architectural and Engineering Managers,20177,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,54.0,3,38.3,73.3,5.3,28.3,48.3,70.0,53.3,augmentable
11-9041.00,Architectural and Engineering Managers,20178,Establish scientific or technical goals within broad outlines provided by top management.,Core,54.0,1,15.0,72.0,4.0,70.0,75.0,80.0,58.0,human_anchored
11-9041.00,Architectural and Engineering Managers,20179,Solicit project support by conferring with officials or providing information to the public.,Supplemental,47.0,3,38.3,81.7,16.7,51.7,42.3,49.3,40.7,augmentable
11-9041.00,Architectural and Engineering Managers,20180,"Plan, direct, or coordinate survey work with other project activities.",Supplemental,54.0,2,16.0,61.5,35.0,61.0,70.0,77.5,70.0,augmentable
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15563,"Develop lab scale models of industrial scale processes, such as fermentation.",Core,66.0,1,45.0,80.0,5.0,20.0,60.0,40.0,45.0,augmentable
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15564,Develop computational tools or approaches to improve biofuels research and development activities.,Supplemental,59.0,1,10.0,48.0,58.0,22.0,72.0,52.0,55.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15566,Provide technical or scientific guidance to technical staff in the conduct of biofuels research or development.,Core,71.0,1,15.0,50.0,45.0,70.0,55.0,65.0,50.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15567,"Prepare, or oversee the preparation of, experimental plans for biofuels research or development.",Core,73.0,1,24.0,74.0,15.0,45.0,68.0,52.0,45.0,augmentable
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15568,Prepare biofuels research and development reports for senior management or technical professionals.,Core,67.0,1,50.0,90.0,10.0,40.0,35.0,40.0,30.0,augmentable
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15569,Perform protein functional analysis and engineering for processing of feedstock and creation of biofuels.,Supplemental,60.0,1,25.0,45.0,65.0,20.0,60.0,50.0,45.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15570,Develop separation processes to recover biofuels.,Supplemental,56.0,1,10.0,48.0,58.0,22.0,72.0,52.0,55.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15571,Develop methods to recover ethanol or other fuels from complex bioreactor liquid and gas streams.,Supplemental,50.0,1,10.0,48.0,58.0,22.0,72.0,52.0,55.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15572,Develop methods to estimate the efficiency of biomass pretreatments.,Supplemental,63.0,1,10.0,48.0,58.0,22.0,72.0,52.0,55.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15573,Design or execute solvent or product recovery experiments in laboratory or field settings.,Supplemental,51.0,1,10.0,48.0,58.0,22.0,72.0,52.0,55.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15574,"Design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.",Core,78.0,1,10.0,48.0,58.0,22.0,72.0,52.0,55.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15575,"Design chemical conversion processes, such as etherification, esterification, interesterification, transesterification, distillation, hydrogenation, oxidation or reduction of fats and oils, and vegetable oil refining.",Supplemental,54.0,1,10.0,48.0,58.0,22.0,72.0,52.0,55.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15576,Conduct experiments on biomass or pretreatment technologies.,Core,68.0,1,25.0,45.0,65.0,20.0,60.0,50.0,45.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15577,Conduct experiments to test new or alternate feedstock fermentation processes.,Core,63.0,1,25.0,45.0,65.0,20.0,60.0,50.0,45.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15578,"Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.",Core,74.0,1,55.0,80.0,5.0,10.0,40.0,35.0,40.0,augmentable
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15579,Oversee biodiesel/biofuels prototyping or development projects.,Core,65.0,1,18.0,40.0,60.0,50.0,55.0,80.0,78.0,resistant
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15580,"Propose new biofuels products, processes, technologies or applications based on findings from applied biofuels or biomass research projects.",Core,70.0,1,18.0,72.0,15.0,50.0,75.0,68.0,68.0,augmentable
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15581,"Conduct research to breed or develop energy crops with improved biomass yield, environmental adaptability, pest resistance, production efficiency, bioprocessing characteristics, or reduced environmental impacts.",Supplemental,60.0,1,25.0,45.0,65.0,20.0,60.0,50.0,45.0,resistant
11-9111.00,Medical and Health Services Managers,46,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel.",Core,86.0,2,16.5,53.5,16.0,80.0,63.5,80.0,52.5,human_anchored
11-9111.00,Medical and Health Services Managers,47,Establish objectives and evaluative or operational criteria for units managed.,Core,74.0,2,20.0,76.0,4.5,59.0,68.5,69.0,51.5,human_anchored
11-9111.00,Medical and Health Services Managers,48,"Direct or conduct recruitment, hiring, and training of personnel.",Core,77.0,3,33.7,64.3,16.0,64.0,48.3,55.0,39.3,augmentable
11-9111.00,Medical and Health Services Managers,49,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports.",Core,83.0,2,44.0,80.0,11.0,26.0,41.0,50.0,49.0,augmentable
11-9111.00,Medical and Health Services Managers,50,Develop and implement organizational policies and procedures for the facility or medical unit.,Core,73.0,3,17.3,66.0,12.7,63.3,70.0,71.7,60.0,augmentable
11-9111.00,Medical and Health Services Managers,51,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Core,79.0,2,19.0,67.5,5.0,50.0,57.5,75.0,67.5,human_anchored
11-9111.00,Medical and Health Services Managers,52,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Core,78.0,1,62.0,75.0,5.0,45.0,40.0,40.0,35.0,largely_automatable
11-9111.00,Medical and Health Services Managers,53,"Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning.",Core,76.0,1,18.0,55.0,10.0,88.0,55.0,35.0,35.0,resistant
11-9111.00,Medical and Health Services Managers,54,"Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services.",Core,78.0,2,47.0,65.0,14.0,48.5,47.5,50.0,42.5,human_anchored
11-9111.00,Medical and Health Services Managers,55,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",Core,79.0,1,25.0,85.0,10.0,20.0,45.0,40.0,35.0,augmentable
11-9111.00,Medical and Health Services Managers,56,"Manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care.",Core,77.0,1,25.0,68.0,25.0,60.0,60.0,60.0,55.0,augmentable
11-9111.00,Medical and Health Services Managers,57,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives.",Core,70.0,1,68.0,88.0,5.0,14.0,30.0,30.0,28.0,largely_automatable
11-9111.00,Medical and Health Services Managers,58,"Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff.",Core,80.0,3,19.3,57.3,21.0,75.7,51.7,61.7,50.0,human_anchored
11-9111.00,Medical and Health Services Managers,59,"Consult with medical, business, and community groups to discuss service problems, respond to community needs, enhance public relations, coordinate activities and plans, and promote health programs.",Core,63.0,1,25.0,60.0,25.0,72.0,50.0,55.0,50.0,augmentable
11-9111.00,Medical and Health Services Managers,60,"Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations.",Supplemental,69.0,2,32.5,62.5,45.0,30.0,55.0,71.5,65.0,augmentable
11-9111.00,Medical and Health Services Managers,61,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.,Core,71.0,2,55.0,68.0,19.0,21.0,56.5,54.0,58.0,largely_automatable
11-9111.00,Medical and Health Services Managers,62,"Develop or expand and implement medical programs or health services that promote research, rehabilitation, and community health.",Core,68.0,1,10.0,40.0,25.0,80.0,60.0,65.0,55.0,human_anchored
11-9111.00,Medical and Health Services Managers,63,Develop instructional materials and conduct in-service and community-based educational programs.,Core,60.0,1,38.0,72.0,28.0,62.0,35.0,40.0,30.0,augmentable
11-9121.00,Natural Sciences Managers,7203,"Confer with scientists, engineers, regulators, or others to plan or review projects or to provide technical assistance.",Core,76.0,1,25.0,60.0,25.0,72.0,50.0,55.0,50.0,augmentable
11-9121.00,Natural Sciences Managers,7204,"Develop client relationships and communicate with clients to explain proposals, present research findings, establish specifications, or discuss project status.",Core,74.0,2,30.5,56.5,17.5,72.5,44.0,45.0,32.5,largely_automatable
11-9121.00,Natural Sciences Managers,7205,"Plan or direct research, development, or production activities.",Core,80.0,3,18.3,68.0,18.3,63.3,68.3,71.7,58.3,augmentable
11-9121.00,Natural Sciences Managers,7206,Prepare project proposals.,Core,72.0,1,45.0,90.0,3.0,30.0,55.0,55.0,45.0,augmentable
11-9121.00,Natural Sciences Managers,7207,"Design or coordinate successive phases of problem analysis, solution proposals, or testing.",Core,81.0,2,19.0,70.0,16.0,60.0,65.0,72.5,55.0,augmentable
11-9121.00,Natural Sciences Managers,7208,"Review project activities and prepare and review research, testing, or operational reports.",Core,77.0,2,59.0,88.0,4.0,19.5,44.0,35.0,35.0,augmentable
11-9121.00,Natural Sciences Managers,7209,"Hire, supervise, or evaluate engineers, technicians, researchers, or other staff.",Core,83.0,3,16.0,50.7,14.0,77.3,64.0,81.7,54.3,human_anchored
11-9121.00,Natural Sciences Managers,7210,Determine scientific or technical goals within broad outlines provided by top management and make detailed plans to accomplish these goals.,Core,73.0,1,15.0,72.0,4.0,70.0,75.0,80.0,58.0,human_anchored
11-9121.00,Natural Sciences Managers,7211,"Develop or implement policies, standards, or procedures for the architectural, scientific, or technical work performed to ensure regulatory compliance or operations enhancement.",Core,68.0,3,17.3,66.0,12.7,63.3,70.0,71.7,60.0,augmentable
11-9121.00,Natural Sciences Managers,7212,Develop innovative technology or train staff for its implementation.,Core,58.0,2,34.0,77.0,19.0,51.0,47.5,50.0,40.0,augmentable
11-9121.00,Natural Sciences Managers,7213,"Provide for stewardship of plant or animal resources or habitats, studying land use, monitoring animal populations, or providing shelter, resources, or medical treatment for animals.",Supplemental,79.0,2,27.5,51.0,48.5,32.5,60.0,45.0,47.5,augmentable
11-9121.00,Natural Sciences Managers,7214,Conduct own research in field of expertise.,Core,63.0,2,27.5,71.0,50.0,17.5,62.5,37.5,37.5,augmentable
11-9121.00,Natural Sciences Managers,7215,Recruit personnel or oversee the development or maintenance of staff competence.,Core,64.0,2,29.0,68.0,10.0,71.5,52.5,60.0,47.5,human_anchored
11-9121.00,Natural Sciences Managers,7216,Advise or assist in obtaining patents or meeting other legal requirements.,Supplemental,51.0,1,25.0,85.0,5.0,50.0,70.0,88.0,70.0,augmentable
11-9121.00,Natural Sciences Managers,7217,"Prepare and administer budgets, approve and review expenditures, and prepare financial reports.",Core,64.0,3,33.3,75.0,3.7,30.0,50.0,73.3,56.7,augmentable
11-9121.00,Natural Sciences Managers,7218,Make presentations at professional meetings to further knowledge in the field.,Core,56.0,1,50.0,85.0,25.0,50.0,32.0,38.0,32.0,augmentable
11-9121.01,Clinical Research Coordinators,15582,Solicit industry-sponsored trials through contacts and professional organizations.,Supplemental,56.0,1,40.0,80.0,15.0,50.0,45.0,35.0,30.0,augmentable
11-9121.01,Clinical Research Coordinators,15583,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",Core,62.0,1,25.0,85.0,10.0,20.0,45.0,40.0,35.0,augmentable
11-9121.01,Clinical Research Coordinators,15584,Register protocol patients with appropriate statistical centers as required.,Supplemental,62.0,1,50.0,80.0,35.0,40.0,25.0,40.0,40.0,augmentable
11-9121.01,Clinical Research Coordinators,15585,"Prepare for or participate in quality assurance audits conducted by study sponsors, federal agencies, or specially designated review groups.",Core,73.0,1,25.0,78.0,10.0,45.0,65.0,95.0,80.0,human_anchored
11-9121.01,Clinical Research Coordinators,15586,Participate in preparation and management of research budgets and monetary disbursements.,Supplemental,52.0,1,20.0,70.0,5.0,55.0,65.0,80.0,60.0,augmentable
11-9121.01,Clinical Research Coordinators,15587,"Perform specific protocol procedures such as interviewing subjects, taking vital signs, and performing electrocardiograms.",Core,86.0,1,28.0,68.0,22.0,85.0,55.0,45.0,40.0,resistant
11-9121.01,Clinical Research Coordinators,15588,Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.,Supplemental,68.0,1,55.0,90.0,15.0,45.0,40.0,25.0,30.0,largely_automatable
11-9121.01,Clinical Research Coordinators,15589,Develop advertising and other informational materials to be used in subject recruitment.,Core,57.0,1,58.0,92.0,10.0,25.0,35.0,25.0,25.0,largely_automatable
11-9121.01,Clinical Research Coordinators,15590,Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.,Supplemental,65.0,1,25.0,60.0,25.0,72.0,50.0,55.0,50.0,augmentable
11-9121.01,Clinical Research Coordinators,15591,Confer with health care professionals to determine the best recruitment practices for studies.,Core,66.0,1,15.0,45.0,20.0,85.0,45.0,40.0,30.0,resistant
11-9121.01,Clinical Research Coordinators,15592,Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.,Core,77.0,1,58.0,75.0,12.0,12.0,22.0,45.0,38.0,largely_automatable
11-9121.01,Clinical Research Coordinators,15593,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.",Core,81.0,1,40.0,78.0,8.0,30.0,78.0,68.0,68.0,augmentable
11-9121.01,Clinical Research Coordinators,15594,Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.,Core,84.0,2,40.0,80.0,9.0,35.0,46.0,73.5,60.0,augmentable
11-9121.01,Clinical Research Coordinators,15595,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Core,85.0,1,68.0,88.0,5.0,14.0,30.0,30.0,28.0,largely_automatable
11-9121.01,Clinical Research Coordinators,15596,Participate in the development of study protocols including guidelines for administration or data collection procedures.,Core,69.0,1,30.0,82.0,10.0,40.0,60.0,60.0,50.0,augmentable
11-9121.01,Clinical Research Coordinators,15597,Oversee subject enrollment to ensure that informed consent is properly obtained and documented.,Core,83.0,1,30.0,40.0,45.0,55.0,55.0,70.0,70.0,resistant
11-9121.01,Clinical Research Coordinators,15598,Order drugs or devices necessary for study completion.,Core,71.0,1,45.0,75.0,10.0,35.0,45.0,50.0,40.0,augmentable
11-9121.01,Clinical Research Coordinators,15599,Organize space for study equipment and supplies.,Core,60.0,1,30.0,65.0,25.0,40.0,60.0,55.0,55.0,augmentable
11-9121.01,Clinical Research Coordinators,15600,Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.,Core,74.0,1,25.0,60.0,25.0,72.0,50.0,55.0,50.0,augmentable
11-9121.01,Clinical Research Coordinators,15601,"Instruct research staff in scientific and procedural aspects of studies including standards of care, informed consent procedures, or documentation procedures.",Core,75.0,1,38.0,72.0,28.0,62.0,35.0,40.0,30.0,augmentable
11-9121.01,Clinical Research Coordinators,15602,Inform patients or caregivers about study aspects and outcomes to be expected.,Core,85.0,1,55.0,85.0,5.0,50.0,30.0,40.0,30.0,largely_automatable
11-9121.01,Clinical Research Coordinators,15603,"Identify protocol problems, inform investigators of problems, or assist in problem resolution efforts, such as protocol revisions.",Core,81.0,1,48.0,85.0,10.0,25.0,62.0,40.0,45.0,augmentable
11-9121.01,Clinical Research Coordinators,15604,"Dispense medical devices or drugs, and calculate dosages and provide instructions as necessary.",Supplemental,82.0,3,36.7,45.0,60.0,35.0,36.7,76.7,79.3,human_anchored
11-9121.01,Clinical Research Coordinators,15605,"Direct the requisition, collection, labeling, storage, or shipment of specimens.",Core,76.0,1,25.0,68.0,25.0,60.0,60.0,60.0,55.0,augmentable
11-9121.01,Clinical Research Coordinators,15606,Contact outside health care providers and communicate with subjects to obtain follow-up information.,Core,69.0,2,34.0,74.0,16.0,70.0,45.0,45.0,37.5,resistant
11-9121.01,Clinical Research Coordinators,15607,Communicate with laboratories or investigators regarding laboratory findings.,Core,66.0,2,27.5,62.5,15.0,70.0,40.0,42.5,32.5,resistant
11-9121.01,Clinical Research Coordinators,15608,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",Core,78.0,1,25.0,60.0,25.0,72.0,50.0,55.0,50.0,augmentable
11-9121.01,Clinical Research Coordinators,15609,"Code, evaluate, or interpret collected study data.",Core,77.0,2,55.0,88.5,4.0,11.5,47.5,37.5,42.5,augmentable
11-9121.01,Clinical Research Coordinators,15610,"Assess eligibility of potential subjects through methods such as screening interviews, reviews of medical records, or discussions with physicians and nurses.",Core,85.0,1,28.0,68.0,22.0,85.0,55.0,45.0,40.0,resistant
11-9121.01,Clinical Research Coordinators,15611,Arrange for research study sites and determine staff or equipment availability.,Supplemental,71.0,1,72.0,62.0,8.0,30.0,30.0,25.0,30.0,largely_automatable
11-9121.01,Clinical Research Coordinators,15612,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.",Core,87.0,1,72.0,62.0,8.0,30.0,30.0,25.0,30.0,largely_automatable
11-9121.01,Clinical Research Coordinators,15613,"Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.",Core,84.0,1,32.0,80.0,10.0,40.0,65.0,85.0,70.0,human_anchored
11-9121.01,Clinical Research Coordinators,15614,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.",Core,82.0,1,55.0,80.0,8.0,15.0,42.0,72.0,60.0,augmentable
11-9121.02,Water Resource Specialists,15615,Supervise teams of workers who capture water from wells and rivers.,Core,50.0,1,15.0,50.0,45.0,70.0,55.0,65.0,50.0,resistant
11-9121.02,Water Resource Specialists,15616,"Review or evaluate designs for water detention facilities, storm drains, flood control facilities, or other hydraulic structures.",Core,70.0,1,22.0,68.0,32.0,42.0,76.0,70.0,60.0,resistant
11-9121.02,Water Resource Specialists,15617,Negotiate for water rights with communities or water facilities to meet water supply demands.,Core,50.0,1,12.0,70.0,20.0,75.0,85.0,85.0,75.0,resistant
11-9121.02,Water Resource Specialists,15618,"Perform hydrologic, hydraulic, or water quality modeling.",Core,84.0,1,25.0,45.0,65.0,20.0,60.0,50.0,45.0,resistant
11-9121.02,Water Resource Specialists,15619,"Compile water resource data, using geographic information systems (GIS) or global position systems (GPS) software.",Core,59.0,1,72.0,80.0,10.0,12.0,25.0,25.0,30.0,largely_automatable
11-9121.02,Water Resource Specialists,15620,Compile and maintain documentation on the health of a body of water.,Core,61.0,2,65.0,77.5,11.0,12.0,23.5,35.0,34.0,largely_automatable
11-9121.02,Water Resource Specialists,15621,"Write proposals, project reports, informational brochures, or other documents on wastewater purification, water supply and demand, or other water resource subjects.",Core,64.0,2,47.5,89.0,10.5,40.0,46.5,50.0,42.5,augmentable
11-9121.02,Water Resource Specialists,15622,"Recommend new or revised policies, procedures, or regulations to support water resource or conservation goals.",Core,57.0,1,24.0,76.0,8.0,50.0,68.0,55.0,40.0,augmentable
11-9121.02,Water Resource Specialists,15623,Provide technical expertise to assist communities in the development or implementation of storm water monitoring or other water programs.,Core,63.0,1,30.0,78.0,20.0,50.0,60.0,50.0,40.0,augmentable
11-9121.02,Water Resource Specialists,15624,"Present water resource proposals to government, public interest groups, or community groups.",Core,67.0,1,45.0,90.0,3.0,30.0,55.0,55.0,45.0,augmentable
11-9121.02,Water Resource Specialists,15625,"Identify methods for distributing purified wastewater into rivers, streams, or oceans.",Supplemental,47.0,1,30.0,80.0,10.0,40.0,70.0,40.0,35.0,augmentable
11-9121.02,Water Resource Specialists,15626,"Monitor water use, demand, or quality in a particular geographic area.",Core,50.0,1,62.0,62.0,22.0,22.0,35.0,30.0,35.0,largely_automatable
11-9121.02,Water Resource Specialists,15627,Identify and characterize specific causes or sources of water pollution.,Core,60.0,1,30.0,70.0,35.0,30.0,70.0,60.0,60.0,augmentable
11-9121.02,Water Resource Specialists,15628,Develop plans to protect watershed health or rehabilitate watersheds.,Core,67.0,1,15.0,72.0,35.0,45.0,75.0,85.0,85.0,augmentable
11-9121.02,Water Resource Specialists,15629,Develop or implement standardized water monitoring and assessment methods.,Core,54.0,2,17.5,60.0,15.0,64.0,61.0,61.5,50.0,human_anchored
11-9121.02,Water Resource Specialists,15630,Conduct technical studies for water resources on topics such as pollutants and water treatment options.,Core,70.0,1,25.0,45.0,65.0,20.0,60.0,50.0,45.0,resistant
11-9121.02,Water Resource Specialists,15631,"Conduct, or oversee the conduct of, investigations on matters such as water storage, wastewater discharge, pollutants, permits, or other compliance and regulatory issues.",Core,73.0,2,25.0,60.0,50.0,27.5,60.0,60.0,50.0,resistant
11-9121.02,Water Resource Specialists,15632,Conduct cost-benefit studies for watershed improvement projects or water management alternatives.,Core,64.0,1,40.0,85.0,5.0,20.0,65.0,55.0,60.0,augmentable
11-9121.02,Water Resource Specialists,15633,Analyze storm water systems to identify opportunities for water resource improvements.,Core,77.0,1,30.0,80.0,10.0,40.0,70.0,40.0,35.0,augmentable
11-9121.02,Water Resource Specialists,15634,Develop strategies for watershed operations to meet water supply and conservation goals or to ensure regulatory compliance with clean water laws or regulations.,Core,71.0,1,15.0,72.0,35.0,45.0,75.0,85.0,85.0,augmentable
