onet_soc_code,title,stem_occupation_types,job_zone,n_tasks_scored,task_coverage,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,share_largely_automatable,share_human_anchored
15-1244.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners",3,20,1.0,48.9,73.0,20.3,27.9,45.2,43.8,50.1,0.25,0.0
15-1251.00,Computer Programmers,"Research, Development, Design, and Practitioners",4,17,1.0,50.0,82.1,10.0,28.6,41.4,36.7,40.6,0.353,0.0
15-1252.00,Software Developers,"Research, Development, Design, and Practitioners",4,17,1.0,40.6,75.6,13.5,41.4,47.9,45.2,45.2,0.176,0.059
15-1253.00,Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners",4,30,1.0,54.1,78.6,12.6,23.5,41.0,38.5,43.3,0.5,0.0
15-1254.00,Web Developers,"Research, Development, Design, and Practitioners",3,29,1.0,50.9,82.1,9.9,28.3,41.9,36.6,40.4,0.276,0.0
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners",4,30,0.968,47.2,84.0,9.2,32.5,44.0,35.5,36.3,0.333,0.0
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners",4,24,1.0,41.2,78.1,7.8,38.9,48.0,32.6,34.9,0.292,0.0
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,35,1.0,47.1,80.2,11.7,29.2,46.2,41.7,44.8,0.257,0.0
15-1299.02,Geographic Information Systems Technologists and Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,29,0.967,53.4,85.5,6.7,24.0,43.1,32.4,35.6,0.517,0.0
15-1299.03,Document Management Specialists,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,23,1.0,49.5,84.5,9.1,24.9,43.7,42.4,43.9,0.217,0.0
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,22,1.0,42.1,79.4,15.1,24.6,52.6,53.1,53.7,0.091,0.045
15-1299.05,Information Security Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,20,1.0,34.7,73.4,14.9,42.3,56.5,55.8,52.2,0.1,0.05
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,20,1.0,43.8,76.4,17.3,23.6,50.8,55.8,55.2,0.15,0.0
15-1299.07,Blockchain Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,17,0.944,43.5,79.1,13.4,29.5,51.3,47.1,52.3,0.176,0.0
15-1299.08,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians",3,28,1.0,40.4,77.3,14.2,36.4,50.7,44.4,46.6,0.179,0.036
15-1299.09,Information Technology Project Managers,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,21,1.0,32.0,72.4,9.9,47.4,54.9,56.1,48.4,0.095,0.19
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners",4,15,0.938,27.5,73.1,11.8,53.0,63.0,70.1,62.1,0.133,0.533
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners",5,12,1.0,44.4,85.9,7.0,22.4,54.4,40.1,41.3,0.25,0.083
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners",5,17,1.0,38.7,80.8,12.5,31.7,54.9,43.5,42.8,0.059,0.059
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners",5,19,1.0,42.6,81.5,7.8,24.1,56.1,45.3,44.5,0.158,0.158
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners",5,25,1.0,45.4,83.9,8.7,26.0,52.5,44.0,42.3,0.28,0.08
15-2051.00,Data Scientists,"Research, Development, Design, and Practitioners",4,16,0.941,44.0,84.8,7.5,23.6,52.6,40.2,40.6,0.125,0.062
15-2051.01,Business Intelligence Analysts,"Research, Development, Design, and Practitioners",4,17,1.0,53.3,86.2,4.1,23.8,42.8,32.9,33.7,0.588,0.0
15-2051.02,Clinical Data Managers,"Research, Development, Design, and Practitioners",4,21,1.0,43.0,81.0,11.1,28.7,46.3,42.9,42.9,0.095,0.048
15-2099.01,Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",4,19,1.0,43.8,79.6,11.4,28.8,41.3,38.4,39.4,0.263,0.0
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",5,25,1.0,32.6,67.7,25.8,39.2,53.7,58.3,52.0,0.0,0.12
17-1012.00,Landscape Architects,"Research, Development, Design, and Practitioners",4,19,0.864,32.1,68.3,25.7,40.3,51.7,49.5,45.5,0.053,0.158
17-1021.00,Cartographers and Photogrammetrists,Technologists and Technicians,4,14,0.875,49.0,47.7,38.1,13.5,40.1,43.3,47.1,0.214,0.0
17-1022.00,Surveyors,Technologists and Technicians,4,24,1.0,45.1,52.8,38.7,24.5,42.2,55.4,53.4,0.167,0.042
17-1022.01,Geodetic Surveyors,Technologists and Technicians,4,16,1.0,52.5,60.3,30.9,20.3,37.5,50.4,48.2,0.375,0.0
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",4,14,0.933,31.3,63.0,27.2,32.5,54.6,60.9,58.3,0.143,0.0
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",4,14,0.875,28.5,62.3,30.4,44.5,53.3,56.8,54.5,0.0,0.0
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",4,30,1.0,30.3,74.8,26.4,31.3,55.5,53.9,53.4,0.1,0.1
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",4,14,0.875,29.3,68.8,34.7,26.4,59.5,57.0,59.7,0.071,0.0
17-2051.00,Civil Engineers,"Research, Development, Design, and Practitioners",4,16,0.941,28.7,58.6,42.0,34.0,57.7,65.1,61.8,0.0,0.188
17-2051.01,Transportation Engineers,"Research, Development, Design, and Practitioners",4,26,0.963,30.3,65.9,31.9,35.1,55.5,61.9,57.9,0.0,0.115
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners",4,28,1.0,29.4,70.9,23.7,33.3,61.4,61.8,60.3,0.0,0.143
17-2061.00,Computer Hardware Engineers,"Research, Development, Design, and Practitioners",4,18,1.0,34.6,68.7,27.9,33.0,49.1,51.1,51.7,0.0,0.056
17-2071.00,Electrical Engineers,"Research, Development, Design, and Practitioners",4,22,1.0,33.3,60.0,36.1,30.4,52.7,57.5,57.3,0.091,0.0
17-2072.00,"Electronics Engineers, Except Computer","Research, Development, Design, and Practitioners",4,20,1.0,37.7,67.8,26.8,30.2,49.9,49.1,51.6,0.2,0.0
17-2072.01,Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners",4,21,1.0,35.7,64.6,34.1,24.8,49.1,46.8,50.0,0.048,0.0
17-2081.00,Environmental Engineers,"Research, Development, Design, and Practitioners",4,29,1.0,31.1,67.4,30.4,41.5,51.2,56.2,48.8,0.103,0.103
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners",4,27,1.0,23.4,63.2,45.5,38.5,56.1,71.0,67.4,0.037,0.296
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",4,14,0.875,30.2,72.3,32.2,34.0,53.0,64.8,60.3,0.0,0.143
17-2112.00,Industrial Engineers,"Research, Development, Design, and Practitioners",4,20,1.0,34.5,70.7,18.8,34.5,54.0,55.3,52.7,0.1,0.05
17-2112.01,Human Factors Engineers and Ergonomists,"Research, Development, Design, and Practitioners",5,26,0.963,27.4,70.6,34.7,38.6,58.9,58.2,54.7,0.0,0.077
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners",4,21,1.0,36.3,64.7,32.1,24.9,45.8,54.5,53.8,0.143,0.0
17-2112.03,Manufacturing Engineers,"Research, Development, Design, and Practitioners",4,24,1.0,31.2,69.3,25.5,34.3,56.5,55.3,54.1,0.042,0.042
17-2121.00,Marine Engineers and Naval Architects,"Research, Development, Design, and Practitioners",4,30,0.968,35.1,59.0,34.3,29.4,48.3,53.8,53.5,0.133,0.133
17-2131.00,Materials Engineers,"Research, Development, Design, and Practitioners",4,21,1.0,32.3,63.6,29.6,38.1,53.3,56.0,53.1,0.048,0.095
17-2141.00,Mechanical Engineers,"Research, Development, Design, and Practitioners",4,28,1.0,29.6,65.5,30.4,37.8,55.0,53.9,53.3,0.071,0.036
17-2141.01,Fuel Cell Engineers,"Research, Development, Design, and Practitioners",4,26,1.0,31.9,66.4,34.2,27.1,55.0,53.6,53.4,0.038,0.0
17-2141.02,Automotive Engineers,"Research, Development, Design, and Practitioners",4,25,1.0,30.0,68.3,27.2,28.4,56.7,56.1,57.2,0.08,0.0
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners",4,18,0.947,33.4,67.0,29.4,35.9,53.5,56.5,53.9,0.167,0.222
17-2161.00,Nuclear Engineers,"Research, Development, Design, and Practitioners",4,20,1.0,30.8,67.7,32.0,35.6,53.5,61.4,60.1,0.0,0.1
17-2171.00,Petroleum Engineers,"Research, Development, Design, and Practitioners",4,23,0.958,32.5,60.3,32.0,35.0,52.9,57.1,55.7,0.13,0.043
17-2199.03,"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners",4,21,1.0,41.4,70.1,24.6,30.1,50.8,50.0,49.1,0.238,0.0
17-2199.05,Mechatronics Engineers,"Research, Development, Design, and Practitioners",4,23,1.0,29.9,63.4,28.4,28.0,53.8,57.8,58.3,0.087,0.043
17-2199.06,Microsystems Engineers,"Research, Development, Design, and Practitioners",5,31,1.0,33.1,66.4,29.0,28.3,54.0,56.9,57.0,0.0,0.0
17-2199.07,Photonics Engineers,"Research, Development, Design, and Practitioners",4,26,1.0,33.3,66.4,28.8,24.4,52.0,51.4,54.1,0.038,0.0
17-2199.08,Robotics Engineers,"Research, Development, Design, and Practitioners",4,24,1.0,34.7,65.4,33.9,23.5,51.3,53.7,56.4,0.125,0.042
17-2199.09,Nanosystems Engineers,"Research, Development, Design, and Practitioners",5,25,1.0,30.8,63.0,37.7,29.3,56.2,50.2,50.6,0.08,0.04
17-2199.10,Wind Energy Engineers,"Research, Development, Design, and Practitioners",4,16,0.8,30.6,63.4,29.0,29.6,58.2,59.7,61.1,0.0,0.0
17-2199.11,Solar Energy Systems Engineers,"Research, Development, Design, and Practitioners",4,13,1.0,31.6,62.3,32.1,30.1,55.0,53.6,53.1,0.077,0.0
17-3011.00,Architectural and Civil Drafters,Technologists and Technicians,3,26,0.963,41.0,62.0,19.4,22.7,47.7,49.2,48.0,0.038,0.038
17-3012.00,Electrical and Electronics Drafters,Technologists and Technicians,3,30,1.0,36.3,63.1,24.1,28.1,46.3,49.8,50.4,0.133,0.067
17-3013.00,Mechanical Drafters,Technologists and Technicians,3,16,0.941,40.3,59.2,16.4,23.9,46.1,49.2,49.0,0.125,0.062
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians,3,11,0.917,37.9,47.5,51.3,18.5,42.4,48.6,52.4,0.091,0.0
17-3022.00,Civil Engineering Technologists and Technicians,Technologists and Technicians,3,14,0.933,40.1,65.8,27.0,30.4,49.4,51.8,49.5,0.071,0.071
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Technologists and Technicians,3,28,1.0,34.7,60.3,34.6,25.1,45.1,50.1,51.3,0.179,0.036
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians,3,28,0.966,36.2,50.8,48.1,22.0,43.9,46.2,50.3,0.071,0.036
17-3024.01,Robotics Technicians,Technologists and Technicians,3,22,1.0,36.2,44.6,63.9,15.4,37.7,46.2,51.5,0.045,0.091
17-3025.00,Environmental Engineering Technologists and Technicians,Technologists and Technicians,4,23,1.0,38.7,55.1,44.6,25.6,45.2,54.7,52.7,0.13,0.174
17-3026.00,Industrial Engineering Technologists and Technicians,Technologists and Technicians,3,30,1.0,35.0,59.9,37.3,30.1,51.3,54.6,54.8,0.067,0.0
17-3026.01,Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians,4,25,1.0,41.2,51.4,53.0,17.5,40.8,46.8,47.8,0.08,0.0
17-3027.00,Mechanical Engineering Technologists and Technicians,Technologists and Technicians,3,30,1.0,42.5,61.1,30.1,22.0,46.3,47.0,48.5,0.067,0.0
17-3027.01,Automotive Engineering Technicians,Technologists and Technicians,3,18,1.0,41.3,54.0,46.4,17.8,44.1,45.2,48.9,0.111,0.056
17-3028.00,Calibration Technologists and Technicians,Technologists and Technicians,3,14,1.0,36.2,52.1,46.9,15.8,42.1,45.3,48.8,0.143,0.0
17-3029.01,Non-Destructive Testing Specialists,Technologists and Technicians,,16,0.941,45.9,45.5,53.8,14.2,39.1,48.5,50.8,0.062,0.062
17-3029.08,Photonics Technicians,Technologists and Technicians,3,24,1.0,38.0,40.6,62.7,15.2,37.0,41.1,47.3,0.0,0.042
17-3031.00,Surveying and Mapping Technicians,Technologists and Technicians,3,30,0.938,50.0,48.7,41.9,17.6,38.0,48.1,47.9,0.2,0.067
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners",5,9,1.0,28.3,71.4,36.9,25.7,58.8,42.5,44.2,0.0,0.0
19-1012.00,Food Scientists and Technologists,"Research, Development, Design, and Practitioners",4,13,0.929,30.4,63.4,43.6,31.3,55.1,51.9,50.4,0.077,0.154
19-1013.00,Soil and Plant Scientists,"Research, Development, Design, and Practitioners",5,27,1.0,25.3,66.6,41.9,31.7,65.6,48.9,49.5,0.037,0.037
19-1021.00,Biochemists and Biophysicists,"Research, Development, Design, and Practitioners",5,24,0.96,28.3,63.0,52.9,21.8,58.1,51.4,49.3,0.0,0.083
19-1022.00,Microbiologists,"Research, Development, Design, and Practitioners",4,14,1.0,31.4,52.3,61.1,19.9,55.9,50.5,51.2,0.071,0.071
19-1023.00,Zoologists and Wildlife Biologists,"Research, Development, Design, and Practitioners",4,14,0.933,32.2,65.2,39.1,29.8,55.8,55.4,50.5,0.0,0.071
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners",5,20,1.0,30.6,77.4,22.2,31.4,57.3,49.2,52.2,0.0,0.05
19-1029.02,Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners",5,22,1.0,29.2,62.2,36.3,36.3,57.5,57.2,52.3,0.091,0.227
19-1029.03,Geneticists,"Research, Development, Design, and Practitioners",5,24,1.0,30.9,69.1,37.4,31.4,55.3,50.2,46.3,0.042,0.125
19-1029.04,Biologists,"Research, Development, Design, and Practitioners",5,22,0.957,29.7,70.2,30.8,33.0,59.0,53.8,47.9,0.045,0.136
19-1031.00,Conservation Scientists,"Research, Development, Design, and Practitioners",4,30,1.0,25.1,63.2,33.9,42.9,65.9,59.5,54.4,0.067,0.133
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners",4,18,1.0,22.1,61.3,40.6,44.3,64.4,56.7,53.9,0.0,0.111
19-1031.03,Park Naturalists,"Research, Development, Design, and Practitioners",4,20,1.0,40.8,62.9,37.1,39.7,43.7,41.0,39.7,0.25,0.1
19-1032.00,Foresters,"Research, Development, Design, and Practitioners",4,25,1.0,22.6,57.8,44.3,42.6,64.6,60.3,56.0,0.0,0.0
19-1041.00,Epidemiologists,"Research, Development, Design, and Practitioners",5,16,0.941,25.4,70.7,25.3,44.7,61.2,65.5,57.5,0.0,0.312
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners",5,14,1.0,28.2,67.4,37.7,37.4,59.3,61.5,57.2,0.0,0.286
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners",5,17,1.0,31.2,69.7,21.9,45.3,56.9,52.9,44.7,0.0,0.294
19-2012.00,Physicists,"Research, Development, Design, and Practitioners",5,16,1.0,30.7,73.5,23.4,28.3,60.1,51.6,47.0,0.0,0.062
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners",4,27,1.0,34.9,72.9,26.4,29.1,56.1,48.0,45.1,0.037,0.037
19-2031.00,Chemists,"Research, Development, Design, and Practitioners",4,12,1.0,29.9,54.6,50.4,31.6,51.3,55.9,53.7,0.0,0.167
19-2032.00,Materials Scientists,"Research, Development, Design, and Practitioners",4,16,0.941,36.8,66.8,35.0,30.2,56.0,49.3,45.3,0.0,0.062
19-2041.00,"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners",4,22,1.0,28.7,73.4,27.0,36.9,65.0,61.5,54.3,0.045,0.045
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners",5,14,1.0,32.4,81.7,12.1,36.3,61.2,54.5,48.0,0.071,0.0
19-2041.02,Environmental Restoration Planners,"Research, Development, Design, and Practitioners",5,23,1.0,26.5,71.4,30.5,40.1,64.8,59.2,53.2,0.043,0.0
19-2041.03,Industrial Ecologists,"Research, Development, Design, and Practitioners",5,38,0.974,30.1,78.5,23.3,30.0,66.8,52.9,49.5,0.0,0.0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners",4,32,1.0,34.2,66.9,32.1,23.1,60.5,49.7,51.4,0.031,0.0
19-2043.00,Hydrologists,"Research, Development, Design, and Practitioners",4,25,0.962,32.5,66.0,36.1,28.6,58.1,53.7,51.4,0.08,0.12
19-2099.01,Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners",4,24,0.96,35.7,66.8,29.0,27.3,53.3,47.5,47.1,0.125,0.0
19-3011.00,Economists,"Research, Development, Design, and Practitioners",5,14,0.875,30.8,76.4,15.4,44.1,61.8,54.5,48.2,0.0,0.286
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners",5,20,1.0,30.8,79.6,17.8,31.4,66.4,51.9,48.2,0.05,0.0
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners",5,16,1.0,36.1,73.9,18.8,45.1,55.2,48.4,40.1,0.125,0.062
19-3032.00,Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners",5,25,0.926,28.8,72.6,19.2,53.2,60.7,55.8,46.7,0.0,0.24
19-3033.00,Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners",5,30,1.0,24.7,64.5,23.1,62.7,62.5,69.9,61.7,0.033,0.533
19-3034.00,School Psychologists,"Research, Development, Design, and Practitioners",5,19,0.905,28.4,68.2,20.4,56.4,54.6,58.8,48.7,0.053,0.263
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners",5,14,1.0,19.9,62.9,30.9,62.0,62.3,72.1,60.8,0.0,0.643
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners",5,18,0.947,17.7,62.6,29.6,68.2,67.0,77.1,66.8,0.0,0.778
19-3041.00,Sociologists,"Research, Development, Design, and Practitioners",5,15,0.882,29.2,74.2,17.8,52.5,61.4,53.2,43.5,0.0,0.267
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners",5,25,1.0,32.3,75.3,16.6,44.6,58.4,54.8,49.0,0.12,0.12
19-3091.00,Anthropologists and Archeologists,"Research, Development, Design, and Practitioners",5,30,1.0,26.8,62.1,43.2,40.3,60.0,48.8,45.7,0.067,0.1
19-3092.00,Geographers,"Research, Development, Design, and Practitioners",4,12,1.0,31.6,61.4,41.7,28.9,52.2,43.2,42.6,0.083,0.083
19-3094.00,Political Scientists,"Research, Development, Design, and Practitioners",5,14,1.0,31.3,81.6,10.8,40.2,64.9,49.9,42.8,0.0,0.143
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners",4,22,1.0,30.0,78.4,12.9,36.8,66.2,58.0,53.2,0.045,0.136
19-4012.00,Agricultural Technicians,Technologists and Technicians,3,26,1.0,37.7,41.7,64.4,18.7,40.7,40.9,43.4,0.077,0.0
19-4012.01,Precision Agriculture Technicians,Technologists and Technicians,3,22,0.957,41.5,67.3,26.8,20.5,51.3,44.6,46.4,0.182,0.0
19-4013.00,Food Science Technicians,Technologists and Technicians,3,16,1.0,45.3,44.9,63.6,16.4,37.8,49.0,49.5,0.188,0.0
19-4021.00,Biological Technicians,Technologists and Technicians,4,18,1.0,40.6,47.5,56.2,17.7,39.6,41.3,42.7,0.222,0.0
19-4031.00,Chemical Technicians,Technologists and Technicians,3,16,1.0,30.3,50.9,52.0,31.4,48.7,50.8,48.5,0.062,0.125
19-4042.00,"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians,4,25,1.0,31.2,52.9,47.5,30.9,52.0,57.5,54.3,0.04,0.16
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Technologists and Technicians,4,29,1.0,38.7,47.7,49.9,17.8,46.5,44.9,46.3,0.138,0.103
19-4044.00,Hydrologic Technicians,Technologists and Technicians,3,16,1.0,38.2,62.2,35.4,26.2,51.3,47.8,48.6,0.25,0.062
19-4051.00,Nuclear Technicians,Technologists and Technicians,3,18,1.0,33.1,42.7,62.5,28.1,43.7,55.6,58.3,0.0,0.167
19-4051.02,Nuclear Monitoring Technicians,Technologists and Technicians,3,16,0.842,42.5,42.5,58.8,24.2,36.9,55.6,60.0,0.188,0.188
19-4061.00,Social Science Research Assistants,Technologists and Technicians,4,22,0.957,40.9,73.7,16.6,35.6,47.9,48.3,42.5,0.182,0.045
19-4071.00,Forest and Conservation Technicians,Technologists and Technicians,3,20,0.833,32.1,46.2,52.2,33.6,48.1,53.4,50.2,0.05,0.2
19-4092.00,Forensic Science Technicians,Technologists and Technicians,3,24,0.923,27.6,46.7,59.2,27.3,58.3,72.3,72.9,0.0,0.667
19-4099.01,Quality Control Analysts,Technologists and Technicians,3,26,1.0,40.9,66.0,31.9,26.9,49.7,53.9,52.2,0.192,0.154
19-4099.03,Remote Sensing Technicians,Technologists and Technicians,4,21,0.955,42.0,64.3,29.7,17.9,45.7,43.8,43.7,0.143,0.0
25-1021.00,"Computer Science Teachers, Postsecondary",Postsecondary Teaching,5,26,1.0,34.1,74.4,18.1,53.3,50.0,48.9,38.5,0.038,0.192
25-1022.00,"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching,5,23,0.958,37.8,75.4,14.4,50.3,47.8,48.5,37.2,0.13,0.217
25-1031.00,"Architecture Teachers, Postsecondary",Postsecondary Teaching,5,22,1.0,36.7,76.2,14.1,50.8,49.4,47.7,36.5,0.091,0.182
25-1032.00,"Engineering Teachers, Postsecondary",Postsecondary Teaching,5,24,1.0,37.1,76.2,15.5,48.5,48.0,48.0,37.0,0.125,0.167
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching,5,23,1.0,35.4,75.3,15.5,52.0,49.2,48.6,37.2,0.087,0.174
25-1042.00,"Biological Science Teachers, Postsecondary",Postsecondary Teaching,5,27,0.964,34.6,74.3,18.4,49.6,48.4,48.5,37.5,0.074,0.148
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching,5,25,0.962,36.2,76.3,14.9,50.0,49.0,48.5,37.0,0.08,0.16
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teaching,5,26,1.0,37.1,76.0,15.7,48.7,47.8,47.7,36.3,0.115,0.154
25-1052.00,"Chemistry Teachers, Postsecondary",Postsecondary Teaching,5,28,1.0,35.0,72.2,19.3,49.9,48.3,50.6,38.7,0.071,0.214
25-1053.00,"Environmental Science Teachers, Postsecondary",Postsecondary Teaching,5,25,1.0,35.8,76.3,14.7,49.8,49.9,49.4,37.7,0.08,0.16
25-1054.00,"Physics Teachers, Postsecondary",Postsecondary Teaching,5,24,0.96,35.6,73.7,18.7,48.7,47.8,48.9,38.1,0.083,0.167
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching,5,27,1.0,34.2,75.1,15.7,50.3,52.0,49.2,38.1,0.074,0.185
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching,5,23,1.0,36.1,76.1,14.8,50.9,49.4,47.5,36.3,0.087,0.174
25-1063.00,"Economics Teachers, Postsecondary",Postsecondary Teaching,5,22,1.0,36.9,76.5,14.2,49.9,49.0,46.9,36.1,0.091,0.182
25-1064.00,"Geography Teachers, Postsecondary",Postsecondary Teaching,5,25,1.0,36.7,75.0,16.8,48.5,48.1,48.1,37.4,0.12,0.16
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching,5,22,1.0,36.6,76.1,14.4,50.6,49.0,47.2,36.2,0.091,0.182
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching,5,29,0.967,33.8,74.0,16.6,52.2,51.6,51.5,39.4,0.069,0.241
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching,5,24,0.889,35.6,75.3,15.1,52.1,49.8,48.1,36.9,0.083,0.167
25-1071.00,"Health Specialties Teachers, Postsecondary",Postsecondary Teaching,5,22,1.0,36.1,74.7,16.3,50.6,48.2,49.3,37.6,0.091,0.182
