soc_code,soc_title,total_employment,annual_mean_wage,susceptibility,exposure,anchoring,quadrant,protected_by
15-1241,Computer Network Architects,179740.0,139580.0,68.0,73.6,37.5,Displaceable,Unprotected - exposed and lightly anchored
19-1042,"Medical Scientists, Except Epidemiologists",172340.0,116840.0,59.5,67.4,48.4,Contested,"Accountability - AI could, a human must answer"
29-1122,Occupational Therapists,162450.0,101280.0,50.2,60.4,59.9,Human-anchored,Capability - AI cannot do much of it
29-1071,Physician Assistants,162150.0,141280.0,44.5,50.0,60.9,Human-anchored,Capability - AI cannot do much of it
29-2053,Psychiatric Technicians,156960.0,46610.0,42.2,45.4,61.1,Human-anchored,Capability - AI cannot do much of it
17-2199,"Engineers, All Other",154070.0,125330.0,61.7,65.0,41.7,Displaceable,Unprotected - exposed and lightly anchored
15-1231,Computer Network Support Specialists,146190.0,81870.0,68.8,68.5,30.9,Displaceable,Unprotected - exposed and lightly anchored
29-1126,Respiratory Therapists,139790.0,87300.0,44.1,48.8,60.4,Human-anchored,Capability - AI cannot do much of it
29-2056,Veterinary Technologists and Technicians,129140.0,49120.0,39.2,35.8,57.3,Human-anchored,Capability - AI cannot do much of it
29-1021,"Dentists, General",124390.0,191350.0,37.4,41.4,66.5,Human-anchored,Capability - AI cannot do much of it
29-2055,Surgical Technologists,117460.0,68710.0,38.9,32.3,54.5,Human-anchored,Capability - AI cannot do much of it
15-1255,Web and Digital Interface Designers,113330.0,117490.0,74.9,81.0,31.2,Displaceable,Unprotected - exposed and lightly anchored
11-9121,Natural Sciences Managers,108690.0,180250.0,63.8,70.6,43.0,Contested,Unprotected - exposed and lightly anchored
15-2031,Operations Research Analysts,108510.0,99730.0,72.6,80.8,35.6,Displaceable,Unprotected - exposed and lightly anchored
29-1215,Family Medicine Physicians,107510.0,255820.0,55.1,67.4,57.2,Contested,"Accountability - AI could, a human must answer"
17-1011,"Architects, Except Landscape and Naval",106770.0,106260.0,62.1,67.7,43.5,Contested,Unprotected - exposed and lightly anchored
17-3011,Architectural and Civil Drafters,103700.0,70740.0,63.7,62.0,34.6,Insulated,Neither - simply less exposed
29-2043,Paramedics,100610.0,63360.0,40.1,47.9,67.6,Human-anchored,Capability - AI cannot do much of it
17-2072,"Electronics Engineers, Except Computer",96900.0,137280.0,63.5,66.2,39.2,Displaceable,Unprotected - exposed and lightly anchored
17-3023,Electrical and Electronic Engineering Technologists and Technicians,95130.0,80680.0,60.7,60.3,38.9,Insulated,Neither - simply less exposed
15-1251,Computer Programmers,92230.0,105170.0,76.2,82.1,29.7,Displaceable,Unprotected - exposed and lightly anchored
29-2032,Diagnostic Medical Sonographers,90160.0,97240.0,50.3,52.5,51.8,Human-anchored,Capability - AI cannot do much of it
19-2041,"Environmental Scientists and Specialists, Including Health",89250.0,91680.0,65.9,76.2,44.4,Displaceable,"Accountability - AI could, a human must answer"
29-1131,Veterinarians,83900.0,142680.0,48.3,54.8,58.2,Human-anchored,Capability - AI cannot do much of it
19-2031,Chemists,82770.0,100450.0,53.8,54.6,47.0,Human-anchored,Capability - AI cannot do much of it
25-1072,"Nursing Instructors and Teachers, Postsecondary",77960.0,86410.0,66.5,74.5,41.6,Displaceable,Unprotected - exposed and lightly anchored
29-1031,Dietitians and Nutritionists,77570.0,77130.0,58.1,68.6,52.3,Contested,"Accountability - AI could, a human must answer"
17-2061,Computer Hardware Engineers,76660.0,162670.0,64.2,68.7,40.4,Displaceable,Unprotected - exposed and lightly anchored
19-3033,Clinical and Counseling Psychologists,75990.0,112750.0,55.5,64.5,53.5,Human-anchored,Capability - AI cannot do much of it
17-3026,Industrial Engineering Technologists and Technicians,75570.0,70700.0,57.1,55.6,41.5,Insulated,Neither - simply less exposed
19-4099,"Life, Physical, and Social Science Technicians, All Other",73910.0,66280.0,63.9,65.2,37.3,Insulated,Unprotected - exposed and lightly anchored
29-2081,"Opticians, Dispensing",73530.0,51770.0,49.0,49.5,51.5,Human-anchored,Capability - AI cannot do much of it
29-2057,Ophthalmic Medical Technicians,71010.0,47060.0,38.6,34.4,57.2,Human-anchored,Capability - AI cannot do much of it
15-1254,Web Developers,70190.0,98770.0,76.2,82.1,29.7,Displaceable,Unprotected - exposed and lightly anchored
15-1242,Database Administrators,69990.0,110090.0,77.2,82.7,28.3,Displaceable,Unprotected - exposed and lightly anchored
19-4021,Biological Technicians,69620.0,61380.0,54.3,47.5,38.9,Insulated,Neither - simply less exposed
17-3022,Civil Engineering Technologists and Technicians,68520.0,68990.0,63.3,65.8,39.3,Displaceable,Unprotected - exposed and lightly anchored
17-2011,Aerospace Engineers,67710.0,142060.0,59.8,63.0,43.5,Human-anchored,Neither - simply less exposed
29-1216,General Internal Medicine Physicians,67150.0,267200.0,51.5,64.6,61.6,Human-anchored,Capability - AI cannot do much of it
15-1243,Database Architects,67140.0,144440.0,76.0,83.0,31.1,Displaceable,Unprotected - exposed and lightly anchored
19-3034,School Psychologists,63940.0,99160.0,61.0,68.2,46.3,Contested,"Accountability - AI could, a human must answer"
29-2031,Cardiovascular Technologists and Technicians,62960.0,76940.0,44.8,46.0,56.4,Human-anchored,Capability - AI cannot do much of it
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",59930.0,80960.0,51.8,43.0,39.5,Insulated,Neither - simply less exposed
17-3031,Surveying and Mapping Technicians,58010.0,58000.0,56.2,48.7,36.4,Insulated,Neither - simply less exposed
19-4031,Chemical Technicians,57540.0,63900.0,52.7,50.9,45.4,Human-anchored,Capability - AI cannot do much of it
19-1029,"Biological Scientists, All Other",55850.0,106330.0,63.2,69.7,43.3,Displaceable,Unprotected - exposed and lightly anchored
29-1151,Nurse Anesthetists,51840.0,248320.0,43.5,46.7,59.7,Human-anchored,Capability - AI cannot do much of it
41-9031,Sales Engineers,51790.0,130140.0,69.4,74.4,35.6,Displaceable,Unprotected - exposed and lightly anchored
17-1022,Surveyors,50830.0,80570.0,59.7,56.5,37.2,Insulated,Neither - simply less exposed
25-1042,"Biological Science Teachers, Postsecondary",50190.0,102840.0,67.2,74.3,39.9,Displaceable,Unprotected - exposed and lightly anchored
25-1022,"Mathematical Science Teachers, Postsecondary",47670.0,91550.0,68.3,75.4,38.9,Displaceable,Unprotected - exposed and lightly anchored
19-3051,Urban and Regional Planners,44230.0,94750.0,66.2,75.3,42.9,Displaceable,Unprotected - exposed and lightly anchored
29-2035,Magnetic Resonance Imaging Technologists,43390.0,96120.0,46.5,46.4,53.4,Human-anchored,Capability - AI cannot do much of it
29-1041,Optometrists,42790.0,141550.0,47.2,58.4,64.0,Human-anchored,Capability - AI cannot do much of it
25-1066,"Psychology Teachers, Postsecondary",41530.0,93860.0,66.3,74.0,41.4,Displaceable,Unprotected - exposed and lightly anchored
25-1032,"Engineering Teachers, Postsecondary",40270.0,124520.0,68.8,76.2,38.6,Displaceable,Unprotected - exposed and lightly anchored
17-3013,Mechanical Drafters,39960.0,75060.0,62.6,59.2,33.9,Insulated,Neither - simply less exposed
29-1011,Chiropractors,39630.0,90520.0,52.3,61.1,56.4,Human-anchored,Capability - AI cannot do much of it
29-1221,"Pediatricians, General",39390.0,212110.0,49.8,61.6,62.1,Human-anchored,Capability - AI cannot do much of it
29-1211,Anesthesiologists,38760.0,360570.0,45.7,54.1,62.7,Human-anchored,Capability - AI cannot do much of it
17-2081,Environmental Engineers,38340.0,112910.0,61.7,67.4,43.9,Contested,"Accountability - AI could, a human must answer"
29-9021,Health Information Technologists and Medical Registrars,38100.0,74970.0,65.8,72.4,40.7,Displaceable,Unprotected - exposed and lightly anchored
15-1221,Computer and Information Research Scientists,37200.0,153930.0,65.4,73.4,42.5,Displaceable,Unprotected - exposed and lightly anchored
19-3099,"Social Scientists and Related Workers, All Other",37100.0,107690.0,67.8,78.4,42.9,Displaceable,Unprotected - exposed and lightly anchored
17-3027,Mechanical Engineering Technologists and Technicians,36190.0,76380.0,60.0,57.5,37.6,Insulated,Neither - simply less exposed
25-1021,"Computer Science Teachers, Postsecondary",35480.0,104420.0,66.6,74.4,41.3,Displaceable,Unprotected - exposed and lightly anchored
29-9099,"Healthcare Practitioners and Technical Workers, All Other",35010.0,76720.0,46.4,55.1,62.3,Human-anchored,Capability - AI cannot do much of it
19-4042,"Environmental Science and Protection Technicians, Including Health",34670.0,60800.0,53.1,52.9,46.6,Human-anchored,Capability - AI cannot do much of it
19-1021,Biochemists and Biophysicists,33830.0,129840.0,58.6,63.0,45.8,Human-anchored,Capability - AI cannot do much of it
29-1214,Emergency Medicine Physicians,32880.0,317480.0,48.1,60.6,64.3,Human-anchored,Capability - AI cannot do much of it
29-2051,Dietetic Technicians,31560.0,40630.0,56.8,66.9,53.3,Contested,"Accountability - AI could, a human must answer"
19-4061,Social Science Research Assistants,30640.0,66140.0,68.6,73.7,36.4,Displaceable,Unprotected - exposed and lightly anchored
29-9091,Athletic Trainers,30500.0,66620.0,50.2,54.2,53.7,Human-anchored,Capability - AI cannot do much of it
19-4071,Forest and Conservation Technicians,30410.0,59060.0,49.9,46.2,46.4,Human-anchored,Capability - AI cannot do much of it
15-2041,Statisticians,29030.0,115700.0,74.9,82.7,32.9,Displaceable,Unprotected - exposed and lightly anchored
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",28630.0,127660.0,52.0,61.6,57.6,Human-anchored,Capability - AI cannot do much of it
29-1223,Psychiatrists,27980.0,269940.0,57.4,70.7,55.9,Contested,"Accountability - AI could, a human must answer"
29-1224,Radiologists,26770.0,381530.0,54.8,65.1,55.5,Human-anchored,"Accountability - AI could, a human must answer"
15-2011,Actuaries,26670.0,141480.0,62.3,73.1,48.5,Contested,"Accountability - AI could, a human must answer"
19-1031,Conservation Scientists,25950.0,77130.0,57.7,62.5,47.1,Human-anchored,Capability - AI cannot do much of it
17-2031,Bioengineers and Biomedical Engineers,23480.0,116890.0,66.5,74.8,41.7,Displaceable,Unprotected - exposed and lightly anchored
19-2042,"Geoscientists, Except Hydrologists and Geographers",23470.0,116150.0,62.7,66.9,41.5,Displaceable,Unprotected - exposed and lightly anchored
17-2131,Materials Engineers,22770.0,120250.0,59.9,63.6,43.9,Human-anchored,Capability - AI cannot do much of it
29-1129,"Therapists, All Other",22640.0,90420.0,54.8,64.7,55.0,Human-anchored,Capability - AI cannot do much of it
19-2099,"Physical Scientists, All Other",22300.0,129230.0,63.8,66.8,39.2,Displaceable,Unprotected - exposed and lightly anchored
29-9093,Surgical Assistants,22270.0,72710.0,30.9,27.3,65.5,Human-anchored,Capability - AI cannot do much of it
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21450.0,119770.0,59.4,67.8,48.9,Contested,"Accountability - AI could, a human must answer"
29-1218,Obstetricians and Gynecologists,21260.0,279040.0,49.9,61.6,61.9,Human-anchored,Capability - AI cannot do much of it
17-2041,Chemical Engineers,21070.0,129980.0,62.0,68.8,44.8,Contested,"Accountability - AI could, a human must answer"
19-2012,Physicists,20430.0,171180.0,66.6,73.5,40.3,Displaceable,Unprotected - exposed and lightly anchored
25-1052,"Chemistry Teachers, Postsecondary",19980.0,105210.0,65.9,72.2,40.6,Displaceable,Unprotected - exposed and lightly anchored
17-1012,Landscape Architects,19600.0,88780.0,63.5,68.3,41.3,Displaceable,Unprotected - exposed and lightly anchored
19-4092,Forensic Science Technicians,19120.0,79200.0,46.2,46.7,54.4,Human-anchored,Capability - AI cannot do much of it
19-1022,Microbiologists,18940.0,97600.0,52.7,52.3,47.0,Human-anchored,Capability - AI cannot do much of it
19-3039,"Psychologists, All Other",18820.0,111210.0,52.7,62.8,57.3,Human-anchored,Capability - AI cannot do much of it
19-1023,Zoologists and Wildlife Biologists,18120.0,83020.0,60.4,65.2,44.4,Human-anchored,"Accountability - AI could, a human must answer"
17-2171,Petroleum Engineers,18060.0,157150.0,58.1,60.3,44.1,Human-anchored,Capability - AI cannot do much of it
17-3012,Electrical and Electronics Drafters,17920.0,81280.0,63.0,63.1,37.1,Insulated,Neither - simply less exposed
19-3011,Economists,17790.0,142130.0,67.8,78.0,42.3,Displaceable,Unprotected - exposed and lightly anchored
29-1212,Cardiologists,17290.0,454940.0,48.2,57.9,61.6,Human-anchored,Capability - AI cannot do much of it
29-2033,Nuclear Medicine Technologists,17080.0,105160.0,49.6,49.0,49.7,Human-anchored,Capability - AI cannot do much of it
29-1124,Radiation Therapists,17070.0,114990.0,43.3,43.6,57.0,Human-anchored,Capability - AI cannot do much of it
25-1065,"Political Science Teachers, Postsecondary",16970.0,108100.0,68.6,76.1,38.9,Displaceable,Unprotected - exposed and lightly anchored
17-3028,Calibration Technologists and Technicians,16540.0,74170.0,57.0,52.1,38.0,Insulated,Neither - simply less exposed
19-1013,Soil and Plant Scientists,15730.0,87720.0,59.8,66.6,47.1,Contested,"Accountability - AI could, a human must answer"
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,15520.0,76420.0,53.4,47.7,41.0,Insulated,Neither - simply less exposed
17-2161,Nuclear Engineers,15280.0,140420.0,61.1,67.7,45.4,Contested,"Accountability - AI could, a human must answer"
19-4012,Agricultural Technicians,15130.0,53840.0,57.8,54.5,38.8,Displaceable,Neither - simply less exposed
29-1125,Recreational Therapists,14930.0,67630.0,53.3,66.7,60.1,Contested,"Accountability - AI could, a human must answer"
19-4013,Food Science Technicians,14600.0,56660.0,51.6,44.9,41.8,Insulated,Neither - simply less exposed
17-1021,Cartographers and Photogrammetrists,14260.0,86690.0,56.8,47.7,34.2,Insulated,Neither - simply less exposed
29-1242,"Orthopedic Surgeons, Except Pediatric",14100.0,373570.0,48.1,56.4,60.1,Human-anchored,Capability - AI cannot do much of it
29-1181,Audiologists,13660.0,97740.0,52.2,62.9,58.5,Human-anchored,Capability - AI cannot do much of it
25-1054,"Physics Teachers, Postsecondary",13090.0,111460.0,67.1,73.7,39.7,Displaceable,Unprotected - exposed and lightly anchored
19-1012,Food Scientists and Technologists,13060.0,95360.0,59.1,63.4,45.3,Human-anchored,Capability - AI cannot do much of it
17-3025,Environmental Engineering Technologists and Technicians,12190.0,64870.0,56.4,55.1,42.3,Insulated,Neither - simply less exposed
19-1041,Epidemiologists,12090.0,97890.0,61.3,70.7,48.2,Contested,"Accountability - AI could, a human must answer"
25-1067,"Sociology Teachers, Postsecondary",11850.0,96980.0,67.7,75.3,39.8,Displaceable,Unprotected - exposed and lightly anchored
25-1063,"Economics Teachers, Postsecondary",11560.0,138850.0,68.9,76.5,38.6,Displaceable,Unprotected - exposed and lightly anchored
29-1213,Dermatologists,11370.0,323530.0,51.9,64.9,61.0,Human-anchored,"Accountability - AI could, a human must answer"
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11300.0,98330.0,68.4,76.1,39.2,Displaceable,Unprotected - exposed and lightly anchored
17-3021,Aerospace Engineering and Operations Technologists and Technicians,11280.0,91310.0,53.4,47.5,40.6,Insulated,Neither - simply less exposed
29-2092,Hearing Aid Specialists,11270.0,66370.0,37.4,37.5,62.6,Human-anchored,Capability - AI cannot do much of it
29-1222,"Physicians, Pathologists",11110.0,285420.0,53.6,61.2,54.1,Human-anchored,Capability - AI cannot do much of it
29-1217,Neurologists,10590.0,267630.0,53.8,67.2,59.6,Contested,"Accountability - AI could, a human must answer"
19-1032,Foresters,10430.0,79170.0,52.7,57.8,52.4,Human-anchored,Capability - AI cannot do much of it
19-2021,Atmospheric and Space Scientists,10000.0,106110.0,66.7,72.9,39.5,Displaceable,Unprotected - exposed and lightly anchored
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",9900.0,116020.0,68.7,76.0,38.6,Displaceable,Unprotected - exposed and lightly anchored
29-1081,Podiatrists,9680.0,175480.0,48.5,58.0,61.1,Human-anchored,Capability - AI cannot do much of it
29-2091,Orthotists and Prosthetists,9390.0,83740.0,43.3,44.9,58.2,Human-anchored,Capability - AI cannot do much of it
19-3091,Anthropologists and Archeologists,8990.0,75620.0,57.2,62.1,47.7,Human-anchored,Capability - AI cannot do much of it
29-1241,"Ophthalmologists, Except Pediatric",8950.0,304650.0,50.0,61.7,61.7,Human-anchored,Capability - AI cannot do much of it
25-1041,"Agricultural Sciences Teachers, Postsecondary",8920.0,102050.0,67.7,75.3,39.9,Displaceable,Unprotected - exposed and lightly anchored
29-1128,Exercise Physiologists,8560.0,60940.0,50.7,58.3,56.8,Human-anchored,Capability - AI cannot do much of it
19-2032,Materials Scientists,8470.0,126180.0,62.4,66.8,42.1,Displaceable,Unprotected - exposed and lightly anchored
19-3022,Survey Researchers,8290.0,79580.0,66.6,73.9,40.8,Displaceable,Unprotected - exposed and lightly anchored
17-2121,Marine Engineers and Naval Architects,8250.0,124180.0,58.8,59.0,41.4,Insulated,Neither - simply less exposed
29-1161,Nurse Midwives,7920.0,136980.0,50.5,61.7,60.8,Human-anchored,Capability - AI cannot do much of it
29-1291,Acupuncturists,7830.0,87020.0,41.7,49.4,65.9,Human-anchored,Capability - AI cannot do much of it
25-1031,"Architecture Teachers, Postsecondary",7700.0,101250.0,68.6,76.2,39.1,Displaceable,Unprotected - exposed and lightly anchored
19-4043,"Geological Technicians, Except Hydrologic Technicians",6980.0,61870.0,53.9,47.7,40.0,Insulated,Neither - simply less exposed
25-1053,"Environmental Science Teachers, Postsecondary",6690.0,103610.0,68.4,76.3,39.5,Displaceable,Unprotected - exposed and lightly anchored
19-4051,Nuclear Technicians,6470.0,108940.0,48.2,42.6,46.1,Human-anchored,Capability - AI cannot do much of it
29-1023,Orthodontists,6210.0,259400.0,46.0,53.0,61.1,Human-anchored,Capability - AI cannot do much of it
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6080.0,115410.0,61.8,67.0,43.5,Contested,Unprotected - exposed and lightly anchored
19-2043,Hydrologists,5850.0,103600.0,61.1,66.0,43.9,Contested,"Accountability - AI could, a human must answer"
19-3094,Political Scientists,5540.0,142510.0,70.5,81.6,40.6,Displaceable,Unprotected - exposed and lightly anchored
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5240.0,106880.0,67.4,75.1,40.4,Displaceable,Unprotected - exposed and lightly anchored
29-1022,Oral and Maxillofacial Surgeons,4910.0,346490.0,30.4,37.3,76.4,Human-anchored,Capability - AI cannot do much of it
29-9092,Genetic Counselors,3740.0,104620.0,61.2,76.3,53.9,Contested,"Accountability - AI could, a human must answer"
15-2099,"Mathematical Science Occupations, All Other",3720.0,91550.0,74.7,79.6,30.1,Displaceable,Unprotected - exposed and lightly anchored
29-2036,Medical Dosimetrists,3410.0,148500.0,52.9,56.5,50.7,Human-anchored,Capability - AI cannot do much of it
25-1064,"Geography Teachers, Postsecondary",3330.0,102350.0,68.0,75.0,39.0,Displaceable,Unprotected - exposed and lightly anchored
19-1011,Animal Scientists,3100.0,88350.0,65.1,71.4,41.2,Displaceable,Unprotected - exposed and lightly anchored
19-4044,Hydrologic Technicians,2840.0,69530.0,61.0,62.2,40.3,Insulated,Neither - simply less exposed
19-3041,Sociologists,2260.0,114920.0,64.6,74.2,45.0,Contested,"Accountability - AI could, a human must answer"
19-2011,Astronomers,2120.0,132920.0,63.2,69.7,43.2,Displaceable,Unprotected - exposed and lightly anchored
15-2021,Mathematicians,2030.0,129260.0,77.4,85.9,31.1,Displaceable,Unprotected - exposed and lightly anchored
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1520.0,102450.0,68.6,76.3,39.2,Displaceable,Unprotected - exposed and lightly anchored
17-2021,Agricultural Engineers,1480.0,108230.0,58.2,62.3,46.0,Human-anchored,Capability - AI cannot do much of it
19-3092,Geographers,1400.0,102350.0,60.0,61.4,41.4,Insulated,Neither - simply less exposed
29-1243,Pediatric Surgeons,1190.0,502050.0,46.6,54.9,61.7,Human-anchored,Capability - AI cannot do much of it
29-1024,Prosthodontists,870.0,268630.0,30.3,28.6,67.9,Human-anchored,Capability - AI cannot do much of it
19-3032,Industrial-Organizational Psychologists,790.0,170230.0,63.3,72.6,46.1,Contested,"Accountability - AI could, a human must answer"
