onet_soc_code,title,stem_occupation_types,total_employment,tractability,resistance,recurrence,frontier_distance,stage_now,stage_now_label,stage_reachable,stage_reachable_label,pending_crossings,willingness_gap,classification,erosion_risk,surprise_potential,weighty_crossing
15-1299.09,Information Technology Project Managers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,69.4,47.8,53.5,-9.5,2,AI recommended,3,"AI executed, human veto",1,36.5,Human held,22.0,1.6,proposing action to taking it
15-2051.02,Clinical Data Managers,"Research, Development, Design, and Practitioners",262440.0,75.5,35.2,42.2,0.0,2,AI recommended,3,"AI executed, human veto",1,34.9,Crossing now,23.6,1.6,proposing action to taking it
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners",55850.0,66.9,41.3,50.2,-1.6,2,AI recommended,3,"AI executed, human veto",1,42.8,Crossing now,18.6,1.6,proposing action to taking it
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners",44230.0,67.3,46.9,41.7,-7.4,2,AI recommended,3,"AI executed, human veto",1,39.6,Human held,20.4,1.6,proposing action to taking it
11-9041.00,Architectural and Engineering Managers,Managerial,220260.0,63.5,55.7,41.2,-13.8,1,AI informed,2,AI recommended,1,38.8,Watch point,19.9,1.5,
11-9121.00,Natural Sciences Managers,Managerial,108690.0,65.4,51.9,43.7,-11.3,1,AI informed,2,AI recommended,1,39.2,Watch point,18.5,1.5,
15-1211.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners",519530.0,74.1,35.9,46.7,-0.0,2,AI recommended,3,"AI executed, human veto",1,35.6,Crossing now,21.2,1.5,proposing action to taking it
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners",172340.0,58.0,49.6,46.8,-3.8,1,AI informed,3,"AI executed, human veto",2,35.1,Crossing now,10.7,1.5,
15-1221.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners",37200.0,67.8,45.7,47.8,-6.5,2,AI recommended,3,"AI executed, human veto",1,38.2,Human held,18.4,1.4,proposing action to taking it
15-1243.00,Database Architects,"Research, Development, Design, and Practitioners",67140.0,77.0,34.0,46.9,0.5,2,AI recommended,3,"AI executed, human veto",1,31.1,Crossing now,22.2,1.4,proposing action to taking it
15-1255.00,Web and Digital Interface Designers,"Research, Development, Design, and Practitioners",113330.0,76.6,32.7,46.6,2.0,2,AI recommended,3,"AI executed, human veto",1,32.8,Crossing now,21.6,1.4,proposing action to taking it
15-1299.02,Geographic Information Systems Technologists and Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,78.6,28.8,50.9,5.0,3,"AI executed, human veto",4,"AI led, human audit",1,30.6,Crossing now,22.8,1.4,human veto to after-the-fact audit (erosion)
15-1299.05,Information Security Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,67.9,46.5,49.9,-7.4,2,AI recommended,3,"AI executed, human veto",1,35.1,Human held,20.2,1.4,proposing action to taking it
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners",18820.0,55.7,69.1,62.0,-21.4,1,AI informed,2,AI recommended,1,41.6,Watch point,16.7,1.4,
29-1031.00,Dietitians and Nutritionists,"Research, Development, Design, and Practitioners",77570.0,60.7,60.6,45.0,-16.8,1,AI informed,2,AI recommended,1,39.6,Watch point,17.9,1.4,
29-1224.00,Radiologists,"Research, Development, Design, and Practitioners",26770.0,57.4,69.2,73.8,-22.9,1,AI informed,2,AI recommended,1,35.9,Human held,20.1,1.4,
15-1212.00,Information Security Analysts,"Research, Development, Design, and Practitioners",190650.0,71.4,44.4,50.3,-7.2,2,AI recommended,3,"AI executed, human veto",1,28.8,Human held,22.6,1.3,proposing action to taking it
15-1299.07,Blockchain Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,71.1,40.2,45.6,-2.8,2,AI recommended,3,"AI executed, human veto",1,31.3,Crossing now,21.1,1.3,proposing action to taking it
15-2051.01,Business Intelligence Analysts,"Research, Development, Design, and Practitioners",262440.0,79.4,28.6,51.5,4.9,3,"AI executed, human veto",4,"AI led, human audit",1,27.8,Crossing now,23.8,1.3,human veto to after-the-fact audit (erosion)
17-2112.00,Industrial Engineers,"Research, Development, Design, and Practitioners",365740.0,66.9,44.4,47.3,-4.7,2,AI recommended,3,"AI executed, human veto",1,35.5,Crossing now,17.7,1.3,proposing action to taking it
19-3033.00,Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners",75990.0,60.0,63.1,56.5,-18.8,1,AI informed,2,AI recommended,1,38.2,Watch point,17.4,1.3,
25-1031.00,"Architecture Teachers, Postsecondary",Postsecondary Teaching,7700.0,70.8,42.0,48.6,-4.5,2,AI recommended,3,"AI executed, human veto",1,36.6,Crossing now,17.4,1.3,proposing action to taking it
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching,1520.0,70.5,42.7,48.6,-5.0,2,AI recommended,3,"AI executed, human veto",1,37.1,Crossing now,17.8,1.3,proposing action to taking it
25-1053.00,"Environmental Science Teachers, Postsecondary",Postsecondary Teaching,6690.0,70.2,42.9,44.9,-5.0,2,AI recommended,3,"AI executed, human veto",1,37.2,Crossing now,18.0,1.3,proposing action to taking it
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching,5240.0,69.2,43.2,43.7,-4.8,2,AI recommended,3,"AI executed, human veto",1,38.1,Crossing now,17.4,1.3,proposing action to taking it
25-1063.00,"Economics Teachers, Postsecondary",Postsecondary Teaching,11560.0,71.0,41.4,44.5,-4.0,2,AI recommended,3,"AI executed, human veto",1,36.4,Crossing now,17.5,1.3,proposing action to taking it
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching,41530.0,68.6,45.3,45.1,-6.6,2,AI recommended,3,"AI executed, human veto",1,37.4,Human held,17.1,1.3,proposing action to taking it
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching,77960.0,69.0,45.9,45.7,-7.4,2,AI recommended,3,"AI executed, human veto",1,38.3,Human held,17.1,1.3,proposing action to taking it
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,69.1,42.7,48.0,-4.2,2,AI recommended,3,"AI executed, human veto",1,28.4,Crossing now,21.3,1.2,proposing action to taking it
15-1299.08,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,70.8,39.8,45.9,-2.3,2,AI recommended,3,"AI executed, human veto",1,33.0,Crossing now,18.6,1.2,proposing action to taking it
15-2099.01,Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",3720.0,75.8,32.9,45.7,2.2,2,AI recommended,3,"AI executed, human veto",1,31.6,Crossing now,19.0,1.2,proposing action to taking it
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",23480.0,63.9,43.9,34.6,-2.3,2,AI recommended,3,"AI executed, human veto",1,40.0,Crossing now,15.1,1.2,proposing action to taking it
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners",18820.0,57.4,63.0,61.2,-16.7,1,AI informed,2,AI recommended,1,40.5,Watch point,14.4,1.2,
25-1022.00,"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching,47670.0,70.8,42.4,41.3,-4.9,2,AI recommended,3,"AI executed, human veto",1,34.4,Crossing now,17.2,1.2,proposing action to taking it
25-1032.00,"Engineering Teachers, Postsecondary",Postsecondary Teaching,40270.0,70.7,42.0,47.7,-4.4,2,AI recommended,3,"AI executed, human veto",1,36.0,Crossing now,17.3,1.2,proposing action to taking it
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching,8920.0,70.0,43.2,48.6,-5.2,2,AI recommended,3,"AI executed, human veto",1,36.8,Human held,16.6,1.2,proposing action to taking it
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teaching,9900.0,70.5,41.8,41.9,-4.1,2,AI recommended,3,"AI executed, human veto",1,35.3,Crossing now,16.6,1.2,proposing action to taking it
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching,11300.0,70.4,41.8,46.6,-4.0,2,AI recommended,3,"AI executed, human veto",1,36.9,Crossing now,16.8,1.2,proposing action to taking it
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching,16970.0,70.9,41.7,47.0,-4.2,2,AI recommended,3,"AI executed, human veto",1,36.3,Crossing now,17.2,1.2,proposing action to taking it
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching,11850.0,70.1,42.8,42.1,-4.9,2,AI recommended,3,"AI executed, human veto",1,36.6,Crossing now,16.7,1.2,proposing action to taking it
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners",183390.0,56.1,67.8,59.1,-20.4,1,AI informed,2,AI recommended,1,39.9,Watch point,15.3,1.2,
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners",22640.0,55.9,65.9,63.8,-18.4,1,AI informed,2,AI recommended,1,40.4,Watch point,14.7,1.2,
29-2051.00,Dietetic Technicians,Technologists and Technicians,31560.0,58.8,62.6,59.4,-17.4,1,AI informed,2,AI recommended,1,38.6,Watch point,15.3,1.2,
15-1252.00,Software Developers,"Research, Development, Design, and Practitioners",1687890.0,72.3,40.1,54.2,-3.3,2,AI recommended,3,"AI executed, human veto",1,31.5,Crossing now,18.1,1.1,proposing action to taking it
15-1255.01,Video Game Designers,"Research, Development, Design, and Practitioners",113330.0,74.6,32.7,49.7,2.9,2,AI recommended,3,"AI executed, human veto",1,34.0,Crossing now,16.9,1.1,proposing action to taking it
15-1299.01,Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians",435370.0,73.5,35.9,43.4,0.3,2,AI recommended,3,"AI executed, human veto",1,28.3,Crossing now,19.2,1.1,proposing action to taking it
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",1480.0,60.4,49.6,42.1,-5.6,1,AI informed,3,"AI executed, human veto",2,33.4,Human held,8.0,1.1,
17-2141.00,Mechanical Engineers,"Research, Development, Design, and Practitioners",296810.0,60.8,45.3,53.1,-1.6,1,AI informed,3,"AI executed, human veto",2,33.7,Crossing now,8.4,1.1,
19-2012.00,Physicists,"Research, Development, Design, and Practitioners",20430.0,63.5,39.9,39.1,2.0,2,AI recommended,3,"AI executed, human veto",1,38.6,Crossing now,14.5,1.1,proposing action to taking it
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners",8290.0,66.7,43.0,47.7,-3.2,2,AI recommended,3,"AI executed, human veto",1,36.4,Crossing now,15.7,1.1,proposing action to taking it
19-3034.00,School Psychologists,"Research, Development, Design, and Practitioners",63940.0,64.0,52.7,54.7,-11.2,1,AI informed,2,AI recommended,1,37.1,Watch point,14.3,1.1,
25-1021.00,"Computer Science Teachers, Postsecondary",Postsecondary Teaching,35480.0,68.6,44.0,46.8,-5.3,2,AI recommended,3,"AI executed, human veto",1,37.5,Human held,15.1,1.1,proposing action to taking it
25-1042.00,"Biological Science Teachers, Postsecondary",Postsecondary Teaching,50190.0,68.8,42.7,46.9,-4.1,2,AI recommended,3,"AI executed, human veto",1,36.3,Crossing now,14.6,1.1,proposing action to taking it
25-1064.00,"Geography Teachers, Postsecondary",Postsecondary Teaching,3330.0,69.7,41.9,47.1,-3.8,2,AI recommended,3,"AI executed, human veto",1,35.0,Crossing now,15.4,1.1,proposing action to taking it
25-1071.00,"Health Specialties Teachers, Postsecondary",Postsecondary Teaching,221270.0,69.9,43.2,41.9,-5.2,2,AI recommended,3,"AI executed, human veto",1,35.5,Human held,16.1,1.1,proposing action to taking it
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners",267330.0,56.3,67.4,69.4,-20.2,1,AI informed,2,AI recommended,1,35.6,Human held,14.8,1.1,
29-1129.01,Art Therapists,"Research, Development, Design, and Practitioners",22640.0,59.1,63.2,59.6,-18.2,1,AI informed,2,AI recommended,1,36.9,Watch point,15.5,1.1,
11-9121.01,Clinical Research Coordinators,Managerial,108690.0,69.7,45.1,47.0,-7.0,2,AI recommended,3,"AI executed, human veto",1,29.9,Human held,16.2,1.0,proposing action to taking it
15-1241.00,Computer Network Architects,"Research, Development, Design, and Practitioners",179740.0,68.7,41.7,39.8,-3.0,2,AI recommended,3,"AI executed, human veto",1,32.4,Crossing now,16.2,1.0,proposing action to taking it
17-2112.03,Manufacturing Engineers,"Research, Development, Design, and Practitioners",365740.0,63.4,44.9,43.3,-3.0,2,AI recommended,3,"AI executed, human veto",1,35.7,Crossing now,14.1,1.0,proposing action to taking it
19-4061.00,Social Science Research Assistants,Technologists and Technicians,30640.0,69.8,40.4,47.9,-2.3,2,AI recommended,3,"AI executed, human veto",1,30.4,Crossing now,16.4,1.0,proposing action to taking it
25-1052.00,"Chemistry Teachers, Postsecondary",Postsecondary Teaching,19980.0,68.0,44.0,47.4,-4.9,2,AI recommended,3,"AI executed, human veto",1,34.4,Crossing now,14.0,1.0,proposing action to taking it
25-1054.00,"Physics Teachers, Postsecondary",Postsecondary Teaching,13090.0,68.8,42.6,45.5,-4.0,2,AI recommended,3,"AI executed, human veto",1,35.0,Crossing now,14.2,1.0,proposing action to taking it
29-9021.00,Health Information Technologists and Medical Registrars,"Research, Development, Design, and Practitioners; Technologists and Technicians",38100.0,68.7,46.4,,-7.7,2,AI recommended,3,"AI executed, human veto",1,29.4,Human held,16.2,1.0,proposing action to taking it
11-9121.02,Water Resource Specialists,Managerial,108690.0,61.9,43.7,29.1,-0.8,2,AI recommended,3,"AI executed, human veto",1,34.9,Crossing now,12.6,0.9,proposing action to taking it
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",106770.0,61.9,48.1,51.3,-5.2,2,AI recommended,3,"AI executed, human veto",1,33.4,Human held,12.9,0.9,proposing action to taking it
19-1029.04,Biologists,"Research, Development, Design, and Practitioners",55850.0,61.6,42.3,41.3,0.8,2,AI recommended,3,"AI executed, human veto",1,36.6,Crossing now,11.7,0.9,proposing action to taking it
19-1031.00,Conservation Scientists,"Research, Development, Design, and Practitioners",25950.0,56.0,48.4,36.1,-0.9,1,AI informed,3,"AI executed, human veto",2,34.6,Crossing now,6.8,0.9,
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners",2120.0,64.5,44.9,36.2,-3.7,2,AI recommended,3,"AI executed, human veto",1,35.4,Crossing now,13.4,0.9,proposing action to taking it
29-1181.00,Audiologists,"Research, Development, Design, and Practitioners",13660.0,54.9,67.8,63.8,-19.4,1,AI informed,2,AI recommended,1,36.1,Human held,13.1,0.9,
29-1299.02,Orthoptists,"Research, Development, Design, and Practitioners",28630.0,52.8,68.2,75.1,-17.9,1,AI informed,2,AI recommended,1,34.6,Human held,13.6,0.9,
29-2072.00,Medical Records Specialists,Technologists and Technicians,194720.0,71.3,46.1,73.3,-8.8,2,AI recommended,3,"AI executed, human veto",1,25.0,Human held,18.7,0.9,proposing action to taking it
17-2051.01,Transportation Engineers,"Research, Development, Design, and Practitioners",367840.0,60.2,48.4,37.2,-4.3,2,AI recommended,3,"AI executed, human veto",1,33.6,Crossing now,12.0,0.8,proposing action to taking it
17-2141.02,Automotive Engineers,"Research, Development, Design, and Practitioners",296810.0,61.0,43.9,40.2,-0.3,2,AI recommended,3,"AI executed, human veto",1,34.2,Crossing now,11.1,0.8,proposing action to taking it
17-2161.00,Nuclear Engineers,"Research, Development, Design, and Practitioners",15280.0,60.5,49.8,28.2,-5.9,2,AI recommended,3,"AI executed, human veto",1,33.3,Human held,11.6,0.8,proposing action to taking it
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners",10000.0,63.2,39.3,51.9,2.8,2,AI recommended,3,"AI executed, human veto",1,34.2,Crossing now,11.5,0.8,proposing action to taking it
29-1222.00,"Physicians, Pathologists","Research, Development, Design, and Practitioners",11110.0,54.4,63.0,63.5,-14.1,1,AI informed,2,AI recommended,1,30.9,Human held,13.5,0.8,
17-2081.00,Environmental Engineers,"Research, Development, Design, and Practitioners",38340.0,61.9,46.6,34.7,-3.7,2,AI recommended,3,"AI executed, human veto",1,32.7,Crossing now,10.1,0.7,proposing action to taking it
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners",6080.0,61.9,46.5,33.0,-3.6,2,AI recommended,3,"AI executed, human veto",1,31.8,Crossing now,11.7,0.7,proposing action to taking it
19-1029.02,Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners",55850.0,57.2,46.7,49.2,-0.2,1,AI informed,3,"AI executed, human veto",2,30.6,Crossing now,5.4,0.7,
29-1081.00,Podiatrists,"Research, Development, Design, and Practitioners",9680.0,50.6,67.9,75.9,-15.4,1,AI informed,2,AI recommended,1,33.9,Human held,10.3,0.7,
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Research, Development, Design, and Practitioners",162450.0,52.3,68.1,52.5,-17.3,1,AI informed,2,AI recommended,1,39.0,Human held,8.7,0.7,
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners",28630.0,54.2,66.2,67.4,-17.2,1,AI informed,2,AI recommended,1,34.3,Human held,10.7,0.7,
29-2099.08,Patient Representatives,Technologists and Technicians,182610.0,71.4,38.8,57.8,-1.6,2,AI recommended,3,"AI executed, human veto",1,29.2,Crossing now,11.5,0.7,proposing action to taking it
15-1241.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners",179740.0,67.7,38.5,44.6,0.8,2,AI recommended,3,"AI executed, human veto",1,27.7,Crossing now,11.4,0.6,proposing action to taking it
17-1012.00,Landscape Architects,"Research, Development, Design, and Practitioners",19600.0,63.7,42.6,47.3,-0.9,2,AI recommended,3,"AI executed, human veto",1,33.2,Crossing now,9.5,0.6,proposing action to taking it
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",21070.0,56.9,45.8,37.5,0.9,2,AI recommended,3,"AI executed, human veto",1,33.9,Crossing now,9.1,0.6,proposing action to taking it
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners",21450.0,53.9,56.6,38.4,-7.3,1,AI informed,2,AI recommended,1,35.2,Human held,8.0,0.6,
17-2199.06,Microsystems Engineers,"Research, Development, Design, and Practitioners",154070.0,60.8,45.0,32.7,-1.3,2,AI recommended,3,"AI executed, human veto",1,31.5,Crossing now,10.3,0.6,proposing action to taking it
29-1011.00,Chiropractors,"Research, Development, Design, and Practitioners",39630.0,54.4,66.8,78.4,-17.9,1,AI informed,2,AI recommended,1,30.0,Human held,9.5,0.6,
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners",162450.0,53.9,65.6,66.0,-16.3,1,AI informed,2,AI recommended,1,35.5,Human held,9.1,0.6,
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners",14100.0,49.8,70.0,,-16.6,1,AI informed,2,AI recommended,1,31.2,Human held,9.2,0.6,
41-4011.07,Solar Sales Representatives and Assessors,Sales,284800.0,69.8,37.7,67.5,0.4,2,AI recommended,3,"AI executed, human veto",1,28.5,Crossing now,10.9,0.6,proposing action to taking it
41-9031.00,Sales Engineers,Sales,51790.0,71.1,37.6,46.6,-0.2,2,AI recommended,3,"AI executed, human veto",1,27.5,Crossing now,10.9,0.6,proposing action to taking it
15-1244.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners",314340.0,69.5,37.7,44.4,0.5,2,AI recommended,3,"AI executed, human veto",1,19.5,Crossing now,11.7,0.5,proposing action to taking it
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",67710.0,60.8,47.1,45.5,-3.4,2,AI recommended,3,"AI executed, human veto",1,27.4,Crossing now,9.4,0.5,proposing action to taking it
17-2061.00,Computer Hardware Engineers,"Research, Development, Design, and Practitioners",76660.0,64.0,41.6,40.6,-0.1,2,AI recommended,3,"AI executed, human veto",1,29.9,Crossing now,9.1,0.5,proposing action to taking it
17-2072.00,"Electronics Engineers, Except Computer","Research, Development, Design, and Practitioners",96900.0,64.2,40.8,46.2,0.6,2,AI recommended,3,"AI executed, human veto",1,26.7,Crossing now,9.1,0.5,proposing action to taking it
17-2131.00,Materials Engineers,"Research, Development, Design, and Practitioners",22770.0,60.7,46.9,43.3,-3.1,2,AI recommended,3,"AI executed, human veto",1,28.7,Crossing now,7.9,0.5,proposing action to taking it
17-2199.03,"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners",154070.0,64.6,41.3,36.9,-0.2,2,AI recommended,3,"AI executed, human veto",1,25.2,Crossing now,10.2,0.5,proposing action to taking it
17-2199.05,Mechatronics Engineers,"Research, Development, Design, and Practitioners",154070.0,60.3,44.9,47.4,-0.8,2,AI recommended,3,"AI executed, human veto",1,31.4,Crossing now,8.5,0.5,proposing action to taking it
17-2199.07,Photonics Engineers,"Research, Development, Design, and Practitioners",154070.0,61.8,40.5,33.6,2.5,2,AI recommended,3,"AI executed, human veto",1,30.3,Crossing now,8.5,0.5,proposing action to taking it
17-2199.08,Robotics Engineers,"Research, Development, Design, and Practitioners",154070.0,60.8,42.9,42.7,0.8,2,AI recommended,3,"AI executed, human veto",1,29.9,Crossing now,8.6,0.5,proposing action to taking it
17-2199.10,Wind Energy Engineers,"Research, Development, Design, and Practitioners",154070.0,58.5,47.4,30.5,-2.0,2,AI recommended,3,"AI executed, human veto",1,30.1,Crossing now,8.4,0.5,proposing action to taking it
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners",3100.0,60.9,33.3,51.7,10.3,2,AI recommended,3,"AI executed, human veto",1,40.8,Handed off,6.3,0.5,proposing action to taking it
19-1029.03,Geneticists,"Research, Development, Design, and Practitioners",55850.0,60.4,40.1,44.3,3.9,2,AI recommended,3,"AI executed, human veto",1,35.3,Crossing now,7.3,0.5,proposing action to taking it
17-2112.02,Validation Engineers,"Research, Development, Design, and Practitioners",365740.0,62.1,42.4,39.9,0.4,2,AI recommended,3,"AI executed, human veto",1,25.4,Crossing now,6.9,0.4,proposing action to taking it
17-2141.01,Fuel Cell Engineers,"Research, Development, Design, and Practitioners",296810.0,59.0,41.7,46.7,3.3,2,AI recommended,3,"AI executed, human veto",1,30.6,Crossing now,5.8,0.4,proposing action to taking it
