onet_soc_code,title,stem_occupation_types,field,job_zone,total_employment,employment_share,n_tasks,scenario,efficiency,removal_risk,risk_at_stake,reconstitution,training_depth,depth_source,scarcity,isolation,octant,severity,severity_label,trap_score,erosion_risk,willingness_gap
19-3032.00,Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,790.0,790.0,25,extreme,91.3,52.7,50.6,78.4,65.5,education,100.0,78.1,Strategic trap,3,Critical,37.7,21.5,43.8
29-1242.00,"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,14100.0,14100.0,15,extreme,56.7,78.9,76.6,83.3,100.0,job_zone,65.5,68.4,Strategic trap,3,Critical,37.3,12.9,35.0
29-1041.00,Optometrists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,42790.0,42790.0,10,extreme,64.7,79.9,83.7,72.2,84.2,education,52.3,72.2,Strategic trap,3,Critical,37.3,15.5,39.8
19-3039.03,Clinical Neuropsychologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,18820.0,9410.0,18,extreme,64.0,70.4,67.7,82.5,98.7,education,62.1,72.5,Strategic trap,3,Critical,37.2,19.5,44.9
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",Architecture and Engineering,5,106770.0,106770.0,25,extreme,85.7,54.6,55.2,78.2,100.0,job_zone,41.3,79.2,Strategic trap,3,Critical,36.6,16.1,35.1
29-1051.00,Pharmacists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,321970.0,321970.0,21,extreme,83.5,67.8,66.0,64.3,79.5,education,28.1,80.7,Strategic trap,3,Critical,36.4,17.9,32.9
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,15,extreme,66.9,79.8,78.2,68.2,90.8,education,27.4,73.0,Strategic trap,3,Critical,36.4,14.7,41.0
19-3039.02,Neuropsychologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,18820.0,9410.0,14,extreme,68.0,65.1,62.9,81.6,97.5,education,62.1,70.9,Strategic trap,3,Critical,36.1,16.8,43.0
19-3011.01,Environmental Economists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,17790.0,8895.0,20,extreme,96.9,53.1,53.1,69.9,71.5,education,62.8,76.3,Strategic trap,3,Critical,36.0,26.4,48.8
19-2011.00,Astronomers,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,2120.0,2120.0,17,extreme,83.1,50.0,48.4,86.4,86.6,education,88.2,83.0,Strategic trap,3,Critical,35.9,16.5,38.5
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners",Architecture and Engineering,4,21450.0,10725.0,27,extreme,74.9,66.4,65.1,72.2,75.0,job_zone,60.5,82.9,Strategic trap,3,Critical,35.9,11.5,39.8
19-3033.00,Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,75990.0,75990.0,30,extreme,74.2,64.8,62.1,74.3,90.2,education,45.4,77.9,Strategic trap,3,Critical,35.7,19.9,39.8
29-1299.01,Naturopathic Physicians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,28630.0,14315.0,20,extreme,67.2,71.5,70.1,73.5,85.2,education,57.1,68.9,Strategic trap,3,Critical,35.3,16.1,38.8
19-2012.00,Physicists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,20430.0,20430.0,16,extreme,86.7,51.2,52.7,78.7,87.9,education,61.1,82.0,Strategic trap,3,Critical,34.9,18.8,42.8
29-1011.00,Chiropractors,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,39630.0,39630.0,13,extreme,72.7,68.4,68.7,69.8,77.4,education,53.2,75.7,Strategic trap,3,Critical,34.7,14.0,32.0
29-1125.00,Recreational Therapists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,4,14930.0,14930.0,11,extreme,81.4,72.9,72.4,57.7,47.0,education,64.8,73.6,Strategic trap,3,Critical,34.2,25.0,45.6
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,2030.0,2030.0,12,extreme,100.0,43.5,43.5,78.4,75.4,education,88.7,70.2,Guard the pipeline,2,High,34.1,29.9,41.5
29-1211.00,Anesthesiologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,38760.0,38760.0,20,extreme,57.1,76.2,73.6,77.4,94.6,education,53.4,70.6,Strategic trap,3,Critical,33.7,7.7,33.7
29-1031.00,Dietitians and Nutritionists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,77570.0,77570.0,28,extreme,90.0,64.7,63.9,57.5,54.9,education,45.1,82.7,Strategic trap,3,Critical,33.5,20.9,41.6
29-1171.00,Nurse Practitioners,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,323040.0,323040.0,27,extreme,76.8,77.3,76.1,56.5,68.6,education,28.1,68.7,Strategic trap,3,Critical,33.5,25.6,46.9
19-1029.01,Bioinformatics Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,55850.0,13962.5,20,extreme,94.6,52.2,51.7,67.6,76.0,education,49.1,74.1,Strategic trap,3,Critical,33.4,21.5,46.8
29-1161.00,Nurse Midwives,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,7920.0,7920.0,21,extreme,65.7,76.0,74.1,66.8,62.5,education,72.4,69.0,Strategic trap,3,Critical,33.4,17.0,40.2
19-1042.00,"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,172340.0,172340.0,14,extreme,86.1,59.1,61.2,65.3,78.6,education,35.6,76.7,Strategic trap,3,Critical,33.2,13.2,39.2
29-1128.00,Exercise Physiologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,4,8560.0,8560.0,25,extreme,65.9,66.4,63.9,75.1,75.0,job_zone,71.5,80.5,Strategic trap,3,Critical,32.9,6.6,31.3
29-1127.00,Speech-Language Pathologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,183390.0,183390.0,23,extreme,80.4,71.1,70.7,57.3,62.4,education,34.9,78.1,Strategic trap,3,Critical,32.8,19.8,44.1
19-3099.01,Transportation Planners,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,37100.0,37100.0,22,extreme,96.5,57.5,56.8,59.0,53.1,education,54.0,81.5,Strategic trap,3,Critical,32.7,30.0,48.4
19-2043.00,Hydrologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,5850.0,5850.0,25,extreme,79.9,53.6,52.2,76.3,75.0,job_zone,76.1,79.8,Strategic trap,3,Critical,32.7,8.6,33.5
17-2111.02,Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,21450.0,10725.0,14,extreme,92.5,60.4,59.7,58.1,47.9,education,60.5,79.8,Strategic trap,3,Critical,32.5,21.2,42.1
19-1032.00,Foresters,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,10430.0,10430.0,25,extreme,74.3,59.2,61.5,74.0,75.0,job_zone,69.1,79.1,Strategic trap,3,Critical,32.5,1.7,35.2
19-1013.00,Soil and Plant Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,15730.0,15730.0,27,extreme,93.4,52.5,51.5,66.0,61.5,education,64.2,79.9,Strategic trap,3,Critical,32.4,4.7,41.3
29-1229.03,Urologists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,342720.0,57120.0,14,extreme,57.3,81.3,79.3,69.1,94.4,education,27.4,68.4,Strategic trap,3,Critical,32.2,15.0,40.2
19-2041.01,Climate Change Policy Analysts,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,89250.0,22312.5,14,extreme,100.0,52.9,52.9,60.4,64.5,education,43.5,75.6,Strategic trap,3,Critical,32.0,31.5,49.3
19-3011.00,Economists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,17790.0,8895.0,14,extreme,89.9,53.1,51.6,67.0,65.7,education,62.8,76.4,Strategic trap,3,Critical,32.0,25.6,45.6
19-1011.00,Animal Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,3100.0,3100.0,9,extreme,93.1,46.5,46.2,74.0,71.6,education,83.6,65.8,Guard the pipeline,2,High,32.0,7.6,43.1
17-2011.00,Aerospace Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,67710.0,67710.0,14,extreme,81.2,58.5,59.0,67.4,75.0,job_zone,46.8,79.4,Strategic trap,3,Critical,32.0,12.6,31.7
29-1023.00,Orthodontists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,6210.0,6210.0,11,extreme,54.4,71.7,74.7,82.1,87.9,education,75.3,77.6,Strategic trap,3,Critical,32.0,5.8,31.4
17-2031.00,Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,23480.0,23480.0,30,extreme,92.1,54.0,52.6,63.5,61.5,education,59.4,74.8,Strategic trap,3,Critical,31.6,20.0,44.5
15-1299.06,Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",Computer and Mathematical,4,435370.0,48374.444444444445,20,extreme,93.4,54.5,55.5,61.9,75.0,job_zone,24.5,85.1,Strategic trap,3,Critical,31.5,25.6,32.6
29-1123.00,Physical Therapists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,267330.0,267330.0,24,extreme,75.6,71.3,70.9,58.5,69.2,education,30.3,73.9,Strategic trap,3,Critical,31.5,19.4,38.9
19-2041.03,Industrial Ecologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,89250.0,22312.5,38,extreme,98.4,54.2,54.0,58.9,59.9,education,43.5,79.5,Strategic trap,3,Critical,31.4,23.9,48.4
17-2021.00,Agricultural Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,1480.0,1480.0,14,extreme,82.7,55.1,54.9,68.8,50.8,education,92.5,78.1,Strategic trap,3,Critical,31.4,8.8,33.8
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,1520.0,1520.0,25,extreme,98.4,43.4,43.2,73.3,84.5,education,92.2,16.8,Guard the pipeline,2,High,31.3,22.7,40.1
17-2041.00,Chemical Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,21070.0,21070.0,14,extreme,93.0,58.7,58.7,57.4,47.5,education,60.7,77.4,Strategic trap,3,Critical,31.3,13.3,39.5
29-1131.00,Veterinarians,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,83900.0,83900.0,21,extreme,59.4,72.5,72.8,71.5,85.7,education,44.2,76.9,Strategic trap,3,Critical,30.8,7.6,37.8
15-1299.04,Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",Computer and Mathematical,4,435370.0,48374.444444444445,22,extreme,93.3,53.3,52.6,61.7,75.0,job_zone,24.5,84.1,Strategic trap,3,Critical,30.7,27.7,37.3
19-1023.00,Zoologists and Wildlife Biologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,18120.0,18120.0,14,extreme,78.7,53.3,55.0,72.5,75.0,job_zone,62.5,81.4,Strategic trap,3,Critical,30.4,7.7,33.0
29-1129.02,Music Therapists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,4,22640.0,11320.0,30,extreme,75.5,69.4,72.1,57.4,49.4,education,59.9,73.7,Strategic trap,3,Critical,30.1,19.4,42.7
19-1029.03,Geneticists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,55850.0,13962.5,24,extreme,86.8,49.5,49.4,69.9,79.4,education,49.1,77.4,Guard the pipeline,2,High,30.0,9.2,38.2
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners",Architecture and Engineering,4,6080.0,6080.0,18,extreme,88.4,54.7,52.5,62.0,47.7,education,75.6,77.3,Strategic trap,3,Critical,30.0,13.3,33.6
19-3034.00,School Psychologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,63940.0,63940.0,19,extreme,87.1,53.4,53.2,64.3,69.2,education,47.5,77.5,Strategic trap,3,Critical,29.9,18.6,39.8
25-1053.00,"Environmental Science Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,6690.0,6690.0,25,extreme,98.3,44.2,43.9,68.2,85.1,education,74.4,16.5,Guard the pipeline,2,High,29.6,23.2,40.5
17-2051.02,Water/Wastewater Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,367840.0,122613.33333333333,28,extreme,98.3,61.1,60.9,49.3,51.5,education,26.5,78.2,Reversible gamble,1,Moderate,29.6,21.4,41.5
17-2161.00,Nuclear Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,4,15280.0,15280.0,20,extreme,83.7,59.2,58.4,59.7,49.1,education,64.6,78.9,Strategic trap,3,Critical,29.6,15.4,36.9
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,29030.0,14515.0,25,extreme,100.0,44.9,44.9,65.7,66.3,education,56.9,77.6,Guard the pipeline,2,High,29.5,29.5,38.5
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,23470.0,23470.0,32,extreme,89.4,52.6,52.8,62.8,57.0,education,59.4,82.2,Strategic trap,3,Critical,29.5,8.8,32.7
19-1021.00,Biochemists and Biophysicists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,33830.0,33830.0,24,extreme,80.0,51.8,52.1,71.2,80.4,education,55.1,72.2,Strategic trap,3,Critical,29.5,0.0,34.7
29-1071.00,Physician Assistants,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,162150.0,81075.0,12,extreme,68.5,77.0,76.4,56.0,62.8,education,36.3,68.8,Strategic trap,3,Critical,29.5,19.7,38.7
25-1064.00,"Geography Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,3330.0,3330.0,25,extreme,98.1,43.3,42.9,69.1,81.0,education,82.8,19.0,Guard the pipeline,2,High,29.4,20.7,38.3
15-1221.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,37200.0,37200.0,15,extreme,93.2,50.8,51.5,62.1,61.8,education,53.9,75.4,Strategic trap,3,Critical,29.4,21.5,41.2
19-2041.02,Environmental Restoration Planners,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,89250.0,22312.5,23,extreme,92.6,57.6,58.0,54.9,53.1,education,43.5,76.3,Strategic trap,3,Critical,29.3,18.2,44.9
19-1029.04,Biologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,55850.0,13962.5,22,extreme,87.4,52.2,52.5,64.1,66.3,education,49.1,80.9,Strategic trap,3,Critical,29.2,14.3,40.5
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,5240.0,5240.0,27,extreme,96.9,44.8,44.2,67.0,77.6,education,77.4,24.7,Guard the pipeline,2,High,29.1,21.7,40.9
19-3051.00,Urban and Regional Planners,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,44230.0,44230.0,25,extreme,94.0,51.8,51.3,59.8,56.0,education,51.9,81.1,Strategic trap,3,Critical,29.1,24.4,43.0
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners",Computer and Mathematical,5,29030.0,14515.0,19,extreme,98.3,47.1,46.8,62.6,60.3,education,56.9,76.8,Guard the pipeline,2,High,29.0,28.3,38.9
11-9121.00,Natural Sciences Managers,Managerial,Managerial,5,108690.0,36230.0,16,extreme,89.5,54.4,54.7,59.6,67.1,education,41.1,68.4,Strategic trap,3,Critical,29.0,22.0,41.0
11-9041.00,Architectural and Engineering Managers,Managerial,Managerial,5,220260.0,110130.0,19,extreme,91.1,60.0,59.9,52.9,57.1,education,32.7,72.7,Strategic trap,3,Critical,28.9,22.1,41.7
29-1141.04,Clinical Nurse Specialists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,3379720.0,675944.0,30,extreme,82.9,74.5,73.2,46.6,63.7,education,0.0,73.6,Reversible gamble,1,Moderate,28.8,25.7,50.6
29-1122.00,Occupational Therapists,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,162450.0,81225.0,17,extreme,75.2,69.0,69.9,55.6,59.4,education,36.3,75.2,Strategic trap,3,Critical,28.8,14.2,38.3
29-2036.00,Medical Dosimetrists,Technologists and Technicians,Healthcare Practitioners and Technical,4,3410.0,3410.0,19,extreme,65.2,65.1,66.2,67.3,51.5,education,82.5,84.2,Strategic trap,3,Critical,28.6,5.8,23.2
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,8920.0,8920.0,23,extreme,98.2,43.6,43.3,66.3,84.1,education,71.0,14.8,Guard the pipeline,2,High,28.4,21.6,39.9
17-2199.03,"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners",Architecture and Engineering,4,154070.0,19258.75,21,extreme,87.8,49.7,46.7,65.0,75.0,job_zone,36.9,82.3,Guard the pipeline,2,High,28.4,14.5,28.7
19-2041.00,"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,89250.0,22312.5,22,extreme,95.7,59.0,58.9,50.3,44.1,education,43.5,76.2,Strategic trap,3,Critical,28.4,22.4,44.7
19-1031.00,Conservation Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,25950.0,8650.0,30,extreme,83.2,58.5,59.5,58.2,49.5,education,58.2,79.9,Strategic trap,3,Critical,28.3,9.8,38.1
17-2199.06,Microsystems Engineers,"Research, Development, Design, and Practitioners",Architecture and Engineering,5,154070.0,19258.75,31,extreme,86.9,56.9,57.9,57.0,60.8,education,36.9,77.7,Strategic trap,3,Critical,28.2,13.1,33.3
19-3022.00,Survey Researchers,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,8290.0,8290.0,16,extreme,93.5,46.0,45.5,65.1,55.6,education,71.9,78.4,Guard the pipeline,2,High,28.0,19.1,37.8
19-1029.02,Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",5,55850.0,13962.5,22,extreme,74.6,55.1,54.9,68.0,74.9,education,49.1,79.2,Strategic trap,3,Critical,28.0,6.9,33.0
25-1066.00,"Psychology Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,41530.0,41530.0,29,extreme,94.6,46.1,44.7,63.9,85.9,education,52.6,25.9,Guard the pipeline,2,High,27.9,21.5,40.2
11-9121.02,Water Resource Specialists,Managerial,Managerial,4,108690.0,36230.0,21,extreme,90.0,54.4,54.5,55.7,53.8,education,41.1,82.5,Strategic trap,3,Critical,27.3,16.1,36.9
19-2021.00,Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,10000.0,10000.0,27,extreme,85.4,48.3,48.5,66.0,57.7,education,69.6,81.5,Guard the pipeline,2,High,27.2,15.4,38.0
25-1067.00,"Sociology Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,11850.0,11850.0,24,extreme,98.2,43.4,43.1,63.7,79.3,education,67.6,18.9,Guard the pipeline,2,High,27.1,21.5,39.7
29-2051.00,Dietetic Technicians,Technologists and Technicians,Healthcare Practitioners and Technical,3,31560.0,31560.0,13,extreme,92.2,65.7,64.7,44.6,25.0,education,55.9,76.7,Reversible gamble,1,Moderate,27.0,19.8,41.3
25-1065.00,"Political Science Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,16970.0,16970.0,22,extreme,98.1,42.6,42.3,64.3,83.8,education,63.3,17.1,Guard the pipeline,2,High,26.9,22.0,39.5
25-1063.00,"Economics Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,11560.0,11560.0,22,extreme,98.2,42.5,42.1,64.1,80.6,education,67.9,17.1,Guard the pipeline,2,High,26.8,22.3,39.6
17-2112.01,Human Factors Engineers and Ergonomists,"Research, Development, Design, and Practitioners",Architecture and Engineering,5,365740.0,91435.0,26,extreme,92.7,56.8,56.5,50.7,54.6,education,26.6,77.0,Strategic trap,3,Critical,26.7,15.5,43.2
29-1141.02,Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners",Healthcare Practitioners and Technical,5,3379720.0,675944.0,24,extreme,73.9,78.1,78.8,46.1,64.2,education,0.0,70.2,Reversible gamble,1,Moderate,26.6,21.9,44.4
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching,Postsecondary Teaching,5,11300.0,11300.0,23,extreme,98.0,42.8,42.5,63.0,77.4,education,68.2,19.0,Guard the pipeline,2,High,26.4,22.1,40.0
19-1031.02,Range Managers,"Research, Development, Design, and Practitioners","Life, Physical, and Social Science",4,25950.0,8650.0,18,extreme,81.8,57.0,57.0,56.7,46.5,education,58.2,79.8,Strategic trap,3,Critical,26.4,4.3,39.2
